frame_number,man/woman,emotion,year,movie_name
93,man,happy,2016,dhanak
28,woman,happy,2016,dhanak
51,woman,disgust,2016,dhanak
62,woman,angry,2016,dhanak
62,woman,neutral,2016,dhanak
60,woman,sad,2016,dhanak
60,woman,neutral,2016,dhanak
111,woman,neutral,2016,dhanak
111,woman,sad,2016,dhanak
58,man,sad,2016,dhanak
61,man,neutral,2016,dhanak
61,woman,surprise,2016,dhanak
30,woman,angry,2016,dhanak
55,woman,neutral,2016,dhanak
55,woman,neutral,2016,dhanak
59,woman,neutral,2016,dhanak
59,woman,sad,2016,dhanak
104,woman,neutral,2016,dhanak
70,woman,happy,2016,dhanak
90,man,sad,2016,dhanak
8,man,fear,2016,dhanak
63,woman,neutral,2016,dhanak
63,woman,sad,2016,dhanak
103,woman,happy,2016,dhanak
56,woman,sad,2016,dhanak
56,woman,neutral,2016,dhanak
33,woman,neutral,2016,dhanak
74,woman,sad,2016,dhanak
92,man,happy,2016,dhanak
29,woman,sad,2016,dhanak
83,man,angry,2016,dhanak
84,man,angry,2016,dhanak
7,man,fear,2016,dhanak
50,woman,surprise,2016,dhanak
32,woman,neutral,2016,dhanak
115,man,angry,2016,dhanak
105,woman,happy,2016,dhanak
105,man,happy,2016,dhanak
114,woman,sad,2016,dhanak
57,man,happy,2016,dhanak
64,woman,sad,2016,dhanak
64,man,sad,2016,dhanak
112,woman,neutral,2016,dhanak
31,woman,neutral,2016,dhanak
