frame_number,man/woman,emotion,year,movie_name
28,man,neutral,2016,dishoom
111,woman,neutral,2016,dishoom
71,man,neutral,2016,dishoom
108,woman,sad,2016,dishoom
140,man,angry,2016,dishoom
59,man,sad,2016,dishoom
107,woman,happy,2016,dishoom
106,man,happy,2016,dishoom
38,man,sad,2016,dishoom
142,woman,angry,2016,dishoom
142,man,neutral,2016,dishoom
49,man,angry,2016,dishoom
40,woman,sad,2016,dishoom
138,man,sad,2016,dishoom
135,man,sad,2016,dishoom
109,man,angry,2016,dishoom
110,man,angry,2016,dishoom
66,man,sad,2016,dishoom
136,man,neutral,2016,dishoom
27,man,sad,2016,dishoom
65,man,neutral,2016,dishoom
81,woman,happy,2016,dishoom
81,woman,surprise,2016,dishoom
113,man,neutral,2016,dishoom
39,man,sad,2016,dishoom
48,woman,sad,2016,dishoom
126,woman,happy,2016,dishoom
101,woman,neutral,2016,dishoom
34,man,neutral,2016,dishoom
124,man,angry,2016,dishoom
64,man,sad,2016,dishoom
64,man,happy,2016,dishoom
72,man,angry,2016,dishoom
