frame_number,man/woman,emotion,year,movie_name
93,woman,happy,2016,do_lafzon_ki_kahani
51,woman,happy,2016,do_lafzon_ki_kahani
94,woman,happy,2016,do_lafzon_ki_kahani
11,man,angry,2016,do_lafzon_ki_kahani
96,man,sad,2016,do_lafzon_ki_kahani
147,man,sad,2016,do_lafzon_ki_kahani
20,man,angry,2016,do_lafzon_ki_kahani
140,man,neutral,2016,do_lafzon_ki_kahani
156,man,happy,2016,do_lafzon_ki_kahani
35,man,happy,2016,do_lafzon_ki_kahani
36,woman,happy,2016,do_lafzon_ki_kahani
158,man,sad,2016,do_lafzon_ki_kahani
59,man,fear,2016,do_lafzon_ki_kahani
104,woman,sad,2016,do_lafzon_ki_kahani
52,man,happy,2016,do_lafzon_ki_kahani
53,woman,happy,2016,do_lafzon_ki_kahani
145,woman,surprise,2016,do_lafzon_ki_kahani
142,man,sad,2016,do_lafzon_ki_kahani
49,woman,sad,2016,do_lafzon_ki_kahani
69,man,sad,2016,do_lafzon_ki_kahani
116,man,sad,2016,do_lafzon_ki_kahani
143,man,sad,2016,do_lafzon_ki_kahani
102,man,angry,2016,do_lafzon_ki_kahani
37,woman,happy,2016,do_lafzon_ki_kahani
144,man,sad,2016,do_lafzon_ki_kahani
146,woman,happy,2016,do_lafzon_ki_kahani
141,man,sad,2016,do_lafzon_ki_kahani
24,man,angry,2016,do_lafzon_ki_kahani
46,man,sad,2016,do_lafzon_ki_kahani
17,man,fear,2016,do_lafzon_ki_kahani
50,woman,happy,2016,do_lafzon_ki_kahani
100,man,neutral,2016,do_lafzon_ki_kahani
32,man,neutral,2016,do_lafzon_ki_kahani
157,man,sad,2016,do_lafzon_ki_kahani
47,woman,happy,2016,do_lafzon_ki_kahani
48,man,happy,2016,do_lafzon_ki_kahani
95,man,sad,2016,do_lafzon_ki_kahani
101,man,neutral,2016,do_lafzon_ki_kahani
159,man,angry,2016,do_lafzon_ki_kahani
99,man,neutral,2016,do_lafzon_ki_kahani
105,woman,happy,2016,do_lafzon_ki_kahani
21,woman,sad,2016,do_lafzon_ki_kahani
31,man,neutral,2016,do_lafzon_ki_kahani
