frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2016,fan
85,woman,sad,2016,fan
51,woman,fear,2016,fan
51,man,happy,2016,fan
51,man,happy,2016,fan
51,man,fear,2016,fan
44,man,neutral,2016,fan
44,man,happy,2016,fan
163,woman,fear,2016,fan
45,man,neutral,2016,fan
55,man,angry,2016,fan
35,woman,neutral,2016,fan
36,woman,neutral,2016,fan
162,woman,angry,2016,fan
68,man,neutral,2016,fan
70,woman,neutral,2016,fan
12,man,sad,2016,fan
49,woman,happy,2016,fan
49,man,fear,2016,fan
69,woman,neutral,2016,fan
54,man,neutral,2016,fan
138,man,neutral,2016,fan
109,man,angry,2016,fan
129,man,angry,2016,fan
164,woman,fear,2016,fan
161,woman,fear,2016,fan
27,man,happy,2016,fan
46,man,neutral,2016,fan
46,man,surprise,2016,fan
160,woman,angry,2016,fan
50,woman,neutral,2016,fan
50,man,happy,2016,fan
50,man,angry,2016,fan
47,man,happy,2016,fan
47,woman,neutral,2016,fan
47,man,surprise,2016,fan
137,woman,angry,2016,fan
48,man,fear,2016,fan
48,man,happy,2016,fan
159,man,angry,2016,fan
97,man,surprise,2016,fan
34,woman,happy,2016,fan
