frame_number,man/woman,emotion,year,movie_name
93,woman,surprise,2016,fever
85,woman,angry,2016,fever
85,man,neutral,2016,fever
51,woman,neutral,2016,fever
60,man,neutral,2016,fever
118,woman,happy,2016,fever
118,man,sad,2016,fever
132,woman,happy,2016,fever
61,man,sad,2016,fever
131,man,neutral,2016,fever
96,man,happy,2016,fever
88,man,sad,2016,fever
128,man,neutral,2016,fever
20,man,sad,2016,fever
71,man,neutral,2016,fever
125,man,neutral,2016,fever
163,woman,sad,2016,fever
86,man,neutral,2016,fever
55,man,sad,2016,fever
162,man,neutral,2016,fever
106,woman,sad,2016,fever
106,woman,angry,2016,fever
52,man,neutral,2016,fever
150,woman,neutral,2016,fever
53,man,neutral,2016,fever
142,man,neutral,2016,fever
8,woman,sad,2016,fever
49,woman,sad,2016,fever
165,man,sad,2016,fever
103,woman,angry,2016,fever
103,woman,surprise,2016,fever
54,woman,neutral,2016,fever
40,woman,neutral,2016,fever
56,man,angry,2016,fever
143,man,neutral,2016,fever
102,woman,angry,2016,fever
102,man,sad,2016,fever
129,woman,angry,2016,fever
37,man,neutral,2016,fever
164,man,sad,2016,fever
83,man,sad,2016,fever
7,woman,sad,2016,fever
133,man,angry,2016,fever
133,woman,happy,2016,fever
77,woman,sad,2016,fever
87,man,neutral,2016,fever
82,man,sad,2016,fever
24,woman,neutral,2016,fever
16,man,sad,2016,fever
119,woman,happy,2016,fever
119,man,sad,2016,fever
50,woman,neutral,2016,fever
123,man,sad,2016,fever
127,man,neutral,2016,fever
126,man,neutral,2016,fever
95,man,happy,2016,fever
101,woman,sad,2016,fever
73,man,sad,2016,fever
124,man,angry,2016,fever
130,woman,sad,2016,fever
5,man,sad,2016,fever
72,woman,happy,2016,fever
80,man,sad,2016,fever
