frame_number,man/woman,emotion,year,movie_name
122,man,angry,2016,fitoor
62,man,angry,2016,fitoor
118,woman,surprise,2016,fitoor
132,woman,surprise,2016,fitoor
94,woman,sad,2016,fitoor
131,woman,surprise,2016,fitoor
154,man,angry,2016,fitoor
71,woman,sad,2016,fitoor
120,woman,fear,2016,fitoor
158,man,neutral,2016,fitoor
104,woman,fear,2016,fitoor
106,woman,sad,2016,fitoor
121,man,angry,2016,fitoor
121,woman,surprise,2016,fitoor
90,woman,neutral,2016,fitoor
145,woman,sad,2016,fitoor
49,woman,angry,2016,fitoor
103,woman,sad,2016,fitoor
54,woman,angry,2016,fitoor
138,man,happy,2016,fitoor
89,woman,sad,2016,fitoor
74,woman,happy,2016,fitoor
74,man,neutral,2016,fitoor
110,woman,angry,2016,fitoor
136,man,happy,2016,fitoor
146,man,sad,2016,fitoor
46,woman,happy,2016,fitoor
123,man,sad,2016,fitoor
100,woman,surprise,2016,fitoor
127,man,sad,2016,fitoor
157,man,fear,2016,fitoor
47,woman,fear,2016,fitoor
47,man,angry,2016,fitoor
137,man,happy,2016,fitoor
95,woman,sad,2016,fitoor
99,man,sad,2016,fitoor
105,woman,sad,2016,fitoor
43,woman,sad,2016,fitoor
22,woman,neutral,2016,fitoor
130,man,angry,2016,fitoor
139,woman,sad,2016,fitoor
