frame_number,man/woman,emotion,year,movie_name
93,man,angry,2016,ghayal_once_again
51,man,sad,2016,ghayal_once_again
94,man,angry,2016,ghayal_once_again
44,man,fear,2016,ghayal_once_again
96,man,fear,2016,ghayal_once_again
45,man,angry,2016,ghayal_once_again
45,woman,happy,2016,ghayal_once_again
91,man,sad,2016,ghayal_once_again
104,man,angry,2016,ghayal_once_again
52,man,angry,2016,ghayal_once_again
68,man,fear,2016,ghayal_once_again
70,woman,sad,2016,ghayal_once_again
53,man,angry,2016,ghayal_once_again
69,woman,surprise,2016,ghayal_once_again
69,man,surprise,2016,ghayal_once_again
42,man,neutral,2016,ghayal_once_again
103,man,angry,2016,ghayal_once_again
89,man,sad,2016,ghayal_once_again
56,man,neutral,2016,ghayal_once_again
66,man,neutral,2016,ghayal_once_again
13,man,happy,2016,ghayal_once_again
77,man,fear,2016,ghayal_once_again
24,man,angry,2016,ghayal_once_again
46,woman,surprise,2016,ghayal_once_again
17,man,angry,2016,ghayal_once_again
65,man,neutral,2016,ghayal_once_again
65,man,angry,2016,ghayal_once_again
41,woman,happy,2016,ghayal_once_again
50,man,neutral,2016,ghayal_once_again
100,man,sad,2016,ghayal_once_again
39,man,sad,2016,ghayal_once_again
115,man,angry,2016,ghayal_once_again
95,man,sad,2016,ghayal_once_again
101,man,sad,2016,ghayal_once_again
78,man,surprise,2016,ghayal_once_again
57,man,neutral,2016,ghayal_once_again
130,woman,angry,2016,ghayal_once_again
72,man,sad,2016,ghayal_once_again
79,man,surprise,2016,ghayal_once_again
31,man,sad,2016,ghayal_once_again
