frame_number,man/woman,emotion,year,movie_name
93,woman,sad,2016,great_grand_masti
122,woman,happy,2016,great_grand_masti
51,woman,fear,2016,great_grand_masti
98,man,sad,2016,great_grand_masti
98,man,fear,2016,great_grand_masti
118,woman,fear,2016,great_grand_masti
111,man,fear,2016,great_grand_masti
111,woman,surprise,2016,great_grand_masti
94,man,angry,2016,great_grand_masti
94,man,sad,2016,great_grand_masti
61,man,happy,2016,great_grand_masti
44,woman,happy,2016,great_grand_masti
4,woman,happy,2016,great_grand_masti
11,man,sad,2016,great_grand_masti
131,woman,happy,2016,great_grand_masti
96,woman,sad,2016,great_grand_masti
88,woman,sad,2016,great_grand_masti
147,woman,angry,2016,great_grand_masti
147,woman,angry,2016,great_grand_masti
154,man,surprise,2016,great_grand_masti
128,man,surprise,2016,great_grand_masti
125,man,sad,2016,great_grand_masti
76,man,happy,2016,great_grand_masti
120,man,happy,2016,great_grand_masti
108,man,angry,2016,great_grand_masti
45,woman,surprise,2016,great_grand_masti
36,man,angry,2016,great_grand_masti
107,man,happy,2016,great_grand_masti
104,woman,sad,2016,great_grand_masti
121,woman,happy,2016,great_grand_masti
90,man,angry,2016,great_grand_masti
142,man,surprise,2016,great_grand_masti
142,woman,surprise,2016,great_grand_masti
142,woman,surprise,2016,great_grand_masti
63,man,sad,2016,great_grand_masti
171,man,neutral,2016,great_grand_masti
171,man,happy,2016,great_grand_masti
171,man,fear,2016,great_grand_masti
69,man,happy,2016,great_grand_masti
42,woman,happy,2016,great_grand_masti
89,woman,sad,2016,great_grand_masti
109,man,angry,2016,great_grand_masti
74,man,happy,2016,great_grand_masti
92,woman,neutral,2016,great_grand_masti
102,man,angry,2016,great_grand_masti
110,man,surprise,2016,great_grand_masti
129,man,fear,2016,great_grand_masti
7,woman,happy,2016,great_grand_masti
77,man,happy,2016,great_grand_masti
146,man,happy,2016,great_grand_masti
87,man,neutral,2016,great_grand_masti
87,man,surprise,2016,great_grand_masti
87,man,neutral,2016,great_grand_masti
141,woman,sad,2016,great_grand_masti
65,man,happy,2016,great_grand_masti
41,woman,happy,2016,great_grand_masti
153,man,fear,2016,great_grand_masti
119,man,happy,2016,great_grand_masti
113,man,fear,2016,great_grand_masti
113,man,fear,2016,great_grand_masti
123,man,disgust,2016,great_grand_masti
100,man,sad,2016,great_grand_masti
100,man,fear,2016,great_grand_masti
127,man,surprise,2016,great_grand_masti
115,woman,happy,2016,great_grand_masti
95,woman,sad,2016,great_grand_masti
101,man,happy,2016,great_grand_masti
101,man,sad,2016,great_grand_masti
99,man,sad,2016,great_grand_masti
99,man,surprise,2016,great_grand_masti
78,man,surprise,2016,great_grand_masti
117,man,happy,2016,great_grand_masti
117,man,happy,2016,great_grand_masti
97,man,fear,2016,great_grand_masti
105,woman,sad,2016,great_grand_masti
43,man,sad,2016,great_grand_masti
22,man,happy,2016,great_grand_masti
22,man,fear,2016,great_grand_masti
22,man,sad,2016,great_grand_masti
124,man,sad,2016,great_grand_masti
130,man,fear,2016,great_grand_masti
112,man,fear,2016,great_grand_masti
75,man,happy,2016,great_grand_masti
25,man,happy,2016,great_grand_masti
