frame_number,man/woman,emotion,year,movie_name
93,woman,happy,2016,island_city
93,woman,happy,2016,island_city
14,woman,angry,2016,island_city
94,woman,happy,2016,island_city
94,woman,neutral,2016,island_city
88,man,angry,2016,island_city
15,man,angry,2016,island_city
76,man,angry,2016,island_city
59,woman,sad,2016,island_city
52,woman,surprise,2016,island_city
26,man,neutral,2016,island_city
69,woman,sad,2016,island_city
67,woman,neutral,2016,island_city
33,woman,sad,2016,island_city
27,man,neutral,2016,island_city
82,woman,angry,2016,island_city
24,man,angry,2016,island_city
65,man,sad,2016,island_city
81,woman,happy,2016,island_city
99,man,angry,2016,island_city
78,woman,sad,2016,island_city
34,woman,angry,2016,island_city
34,woman,neutral,2016,island_city
79,woman,sad,2016,island_city
25,man,sad,2016,island_city
