frame_number,man/woman,emotion,year,movie_name
98,woman,angry,2016,jai_gangaajal
118,man,neutral,2016,jai_gangaajal
111,man,neutral,2016,jai_gangaajal
111,man,angry,2016,jai_gangaajal
94,man,disgust,2016,jai_gangaajal
58,woman,neutral,2016,jai_gangaajal
96,man,fear,2016,jai_gangaajal
96,man,neutral,2016,jai_gangaajal
88,man,angry,2016,jai_gangaajal
30,man,surprise,2016,jai_gangaajal
76,man,happy,2016,jai_gangaajal
76,man,neutral,2016,jai_gangaajal
120,woman,neutral,2016,jai_gangaajal
140,woman,neutral,2016,jai_gangaajal
91,man,angry,2016,jai_gangaajal
158,woman,fear,2016,jai_gangaajal
90,woman,sad,2016,jai_gangaajal
38,man,surprise,2016,jai_gangaajal
42,man,happy,2016,jai_gangaajal
89,woman,surprise,2016,jai_gangaajal
116,man,neutral,2016,jai_gangaajal
92,man,angry,2016,jai_gangaajal
29,woman,fear,2016,jai_gangaajal
110,woman,fear,2016,jai_gangaajal
129,woman,fear,2016,jai_gangaajal
151,woman,sad,2016,jai_gangaajal
161,woman,fear,2016,jai_gangaajal
16,woman,neutral,2016,jai_gangaajal
17,woman,neutral,2016,jai_gangaajal
41,man,fear,2016,jai_gangaajal
153,woman,fear,2016,jai_gangaajal
160,woman,fear,2016,jai_gangaajal
50,woman,neutral,2016,jai_gangaajal
113,man,angry,2016,jai_gangaajal
32,man,surprise,2016,jai_gangaajal
157,woman,angry,2016,jai_gangaajal
115,woman,angry,2016,jai_gangaajal
126,woman,angry,2016,jai_gangaajal
95,woman,fear,2016,jai_gangaajal
159,woman,fear,2016,jai_gangaajal
99,man,neutral,2016,jai_gangaajal
99,man,neutral,2016,jai_gangaajal
117,woman,angry,2016,jai_gangaajal
117,man,neutral,2016,jai_gangaajal
97,woman,angry,2016,jai_gangaajal
34,man,neutral,2016,jai_gangaajal
114,woman,angry,2016,jai_gangaajal
114,man,neutral,2016,jai_gangaajal
22,man,happy,2016,jai_gangaajal
73,man,neutral,2016,jai_gangaajal
57,woman,angry,2016,jai_gangaajal
130,man,happy,2016,jai_gangaajal
112,woman,angry,2016,jai_gangaajal
72,man,angry,2016,jai_gangaajal
23,woman,angry,2016,jai_gangaajal
18,woman,neutral,2016,jai_gangaajal
31,man,angry,2016,jai_gangaajal
