frame_number,man/woman,emotion,year,movie_name
60,man,angry,2016,jugni
58,man,angry,2016,jugni
61,man,angry,2016,jugni
44,man,angry,2016,jugni
76,woman,fear,2016,jugni
108,man,sad,2016,jugni
45,man,angry,2016,jugni
59,man,angry,2016,jugni
52,woman,neutral,2016,jugni
70,man,sad,2016,jugni
49,woman,sad,2016,jugni
103,woman,happy,2016,jugni
116,man,sad,2016,jugni
74,woman,sad,2016,jugni
46,man,happy,2016,jugni
113,man,happy,2016,jugni
47,woman,sad,2016,jugni
48,woman,angry,2016,jugni
115,man,sad,2016,jugni
114,man,sad,2016,jugni
112,man,sad,2016,jugni
79,man,sad,2016,jugni
79,woman,sad,2016,jugni
75,woman,sad,2016,jugni
80,woman,angry,2016,jugni
80,woman,sad,2016,jugni
