frame_number,man/woman,emotion,year,movie_name
98,man,neutral,2016,junooniyat
62,woman,happy,2016,junooniyat
60,man,happy,2016,junooniyat
61,man,sad,2016,junooniyat
61,man,neutral,2016,junooniyat
11,woman,sad,2016,junooniyat
96,man,sad,2016,junooniyat
20,man,neutral,2016,junooniyat
55,man,neutral,2016,junooniyat
155,woman,neutral,2016,junooniyat
156,woman,sad,2016,junooniyat
91,woman,neutral,2016,junooniyat
91,man,fear,2016,junooniyat
59,man,happy,2016,junooniyat
107,woman,sad,2016,junooniyat
52,woman,happy,2016,junooniyat
70,woman,happy,2016,junooniyat
90,woman,happy,2016,junooniyat
26,man,angry,2016,junooniyat
142,man,happy,2016,junooniyat
63,man,neutral,2016,junooniyat
67,man,happy,2016,junooniyat
42,man,neutral,2016,junooniyat
40,woman,sad,2016,junooniyat
56,man,neutral,2016,junooniyat
33,man,sad,2016,junooniyat
33,man,happy,2016,junooniyat
66,man,sad,2016,junooniyat
77,woman,neutral,2016,junooniyat
27,woman,surprise,2016,junooniyat
87,woman,neutral,2016,junooniyat
65,woman,happy,2016,junooniyat
10,woman,sad,2016,junooniyat
134,woman,angry,2016,junooniyat
39,man,happy,2016,junooniyat
32,woman,happy,2016,junooniyat
115,man,neutral,2016,junooniyat
43,man,neutral,2016,junooniyat
21,man,neutral,2016,junooniyat
57,man,neutral,2016,junooniyat
64,woman,sad,2016,junooniyat
112,man,sad,2016,junooniyat
79,man,neutral,2016,junooniyat
79,man,happy,2016,junooniyat
25,man,neutral,2016,junooniyat
