frame_number,man/woman,emotion,year,movie_name
93,woman,sad,2016,kahaani_2
55,woman,happy,2016,kahaani_2
121,man,neutral,2016,kahaani_2
90,man,sad,2016,kahaani_2
53,man,happy,2016,kahaani_2
8,man,sad,2016,kahaani_2
54,woman,happy,2016,kahaani_2
40,woman,sad,2016,kahaani_2
66,man,neutral,2016,kahaani_2
7,man,sad,2016,kahaani_2
133,woman,happy,2016,kahaani_2
77,woman,sad,2016,kahaani_2
87,man,sad,2016,kahaani_2
82,man,angry,2016,kahaani_2
134,man,happy,2016,kahaani_2
9,man,sad,2016,kahaani_2
100,man,sad,2016,kahaani_2
115,woman,happy,2016,kahaani_2
95,man,sad,2016,kahaani_2
78,woman,sad,2016,kahaani_2
114,man,neutral,2016,kahaani_2
6,man,sad,2016,kahaani_2
57,woman,happy,2016,kahaani_2
112,man,angry,2016,kahaani_2
79,man,neutral,2016,kahaani_2
