frame_number,man/woman,emotion,year,movie_name
60,man,angry,2016,khel_toh_ab_shuru_hoga
128,man,angry,2016,khel_toh_ab_shuru_hoga
30,man,happy,2016,khel_toh_ab_shuru_hoga
108,man,sad,2016,khel_toh_ab_shuru_hoga
140,man,happy,2016,khel_toh_ab_shuru_hoga
55,man,happy,2016,khel_toh_ab_shuru_hoga
55,man,happy,2016,khel_toh_ab_shuru_hoga
36,woman,sad,2016,khel_toh_ab_shuru_hoga
107,man,sad,2016,khel_toh_ab_shuru_hoga
104,man,neutral,2016,khel_toh_ab_shuru_hoga
68,man,neutral,2016,khel_toh_ab_shuru_hoga
70,man,happy,2016,khel_toh_ab_shuru_hoga
70,man,happy,2016,khel_toh_ab_shuru_hoga
90,man,neutral,2016,khel_toh_ab_shuru_hoga
53,man,neutral,2016,khel_toh_ab_shuru_hoga
63,woman,sad,2016,khel_toh_ab_shuru_hoga
69,man,sad,2016,khel_toh_ab_shuru_hoga
67,man,neutral,2016,khel_toh_ab_shuru_hoga
54,man,neutral,2016,khel_toh_ab_shuru_hoga
135,man,sad,2016,khel_toh_ab_shuru_hoga
92,woman,sad,2016,khel_toh_ab_shuru_hoga
102,man,happy,2016,khel_toh_ab_shuru_hoga
110,woman,happy,2016,khel_toh_ab_shuru_hoga
129,man,angry,2016,khel_toh_ab_shuru_hoga
37,man,sad,2016,khel_toh_ab_shuru_hoga
66,man,neutral,2016,khel_toh_ab_shuru_hoga
66,man,sad,2016,khel_toh_ab_shuru_hoga
136,man,neutral,2016,khel_toh_ab_shuru_hoga
77,man,neutral,2016,khel_toh_ab_shuru_hoga
16,man,sad,2016,khel_toh_ab_shuru_hoga
65,man,neutral,2016,khel_toh_ab_shuru_hoga
65,man,sad,2016,khel_toh_ab_shuru_hoga
127,man,angry,2016,khel_toh_ab_shuru_hoga
137,man,sad,2016,khel_toh_ab_shuru_hoga
137,man,happy,2016,khel_toh_ab_shuru_hoga
115,man,happy,2016,khel_toh_ab_shuru_hoga
95,man,neutral,2016,khel_toh_ab_shuru_hoga
101,man,fear,2016,khel_toh_ab_shuru_hoga
97,man,happy,2016,khel_toh_ab_shuru_hoga
21,woman,angry,2016,khel_toh_ab_shuru_hoga
79,man,sad,2016,khel_toh_ab_shuru_hoga
18,man,happy,2016,khel_toh_ab_shuru_hoga
25,man,happy,2016,khel_toh_ab_shuru_hoga
80,man,happy,2016,khel_toh_ab_shuru_hoga
80,man,angry,2016,khel_toh_ab_shuru_hoga
