frame_number,man/woman,emotion,year,movie_name
28,man,neutral,2016,loveshhuda
28,man,surprise,2016,loveshhuda
98,man,neutral,2016,loveshhuda
60,woman,fear,2016,loveshhuda
58,woman,sad,2016,loveshhuda
44,man,angry,2016,loveshhuda
173,man,sad,2016,loveshhuda
173,woman,happy,2016,loveshhuda
11,woman,happy,2016,loveshhuda
88,man,angry,2016,loveshhuda
154,man,sad,2016,loveshhuda
154,woman,happy,2016,loveshhuda
20,woman,sad,2016,loveshhuda
170,man,sad,2016,loveshhuda
170,woman,happy,2016,loveshhuda
125,woman,neutral,2016,loveshhuda
76,man,surprise,2016,loveshhuda
76,man,sad,2016,loveshhuda
163,man,sad,2016,loveshhuda
163,woman,happy,2016,loveshhuda
140,man,angry,2016,loveshhuda
86,woman,sad,2016,loveshhuda
55,woman,angry,2016,loveshhuda
155,man,sad,2016,loveshhuda
155,woman,happy,2016,loveshhuda
156,man,sad,2016,loveshhuda
156,woman,happy,2016,loveshhuda
36,man,happy,2016,loveshhuda
158,man,sad,2016,loveshhuda
158,woman,happy,2016,loveshhuda
59,woman,angry,2016,loveshhuda
168,man,sad,2016,loveshhuda
168,woman,happy,2016,loveshhuda
168,woman,angry,2016,loveshhuda
162,man,sad,2016,loveshhuda
162,woman,happy,2016,loveshhuda
106,man,happy,2016,loveshhuda
176,man,sad,2016,loveshhuda
176,woman,happy,2016,loveshhuda
90,woman,sad,2016,loveshhuda
26,man,neutral,2016,loveshhuda
53,woman,surprise,2016,loveshhuda
142,man,neutral,2016,loveshhuda
165,man,sad,2016,loveshhuda
165,woman,happy,2016,loveshhuda
171,man,sad,2016,loveshhuda
171,woman,happy,2016,loveshhuda
42,man,angry,2016,loveshhuda
138,man,angry,2016,loveshhuda
89,man,angry,2016,loveshhuda
56,woman,fear,2016,loveshhuda
175,man,sad,2016,loveshhuda
175,woman,happy,2016,loveshhuda
102,man,sad,2016,loveshhuda
29,man,neutral,2016,loveshhuda
164,man,sad,2016,loveshhuda
164,woman,happy,2016,loveshhuda
161,man,sad,2016,loveshhuda
161,woman,happy,2016,loveshhuda
84,woman,sad,2016,loveshhuda
136,man,angry,2016,loveshhuda
27,woman,sad,2016,loveshhuda
27,man,neutral,2016,loveshhuda
87,man,angry,2016,loveshhuda
172,man,sad,2016,loveshhuda
172,woman,happy,2016,loveshhuda
141,man,surprise,2016,loveshhuda
24,woman,happy,2016,loveshhuda
16,man,sad,2016,loveshhuda
17,woman,sad,2016,loveshhuda
167,man,sad,2016,loveshhuda
167,woman,happy,2016,loveshhuda
166,man,sad,2016,loveshhuda
166,woman,happy,2016,loveshhuda
153,man,sad,2016,loveshhuda
153,woman,happy,2016,loveshhuda
160,man,sad,2016,loveshhuda
160,woman,happy,2016,loveshhuda
169,man,sad,2016,loveshhuda
169,woman,happy,2016,loveshhuda
100,woman,angry,2016,loveshhuda
157,man,sad,2016,loveshhuda
157,woman,happy,2016,loveshhuda
137,woman,neutral,2016,loveshhuda
115,woman,neutral,2016,loveshhuda
101,man,sad,2016,loveshhuda
159,man,sad,2016,loveshhuda
159,woman,happy,2016,loveshhuda
99,man,neutral,2016,loveshhuda
97,woman,happy,2016,loveshhuda
105,woman,neutral,2016,loveshhuda
21,woman,surprise,2016,loveshhuda
22,woman,neutral,2016,loveshhuda
174,man,sad,2016,loveshhuda
174,woman,happy,2016,loveshhuda
152,man,sad,2016,loveshhuda
152,woman,happy,2016,loveshhuda
57,woman,neutral,2016,loveshhuda
23,woman,neutral,2016,loveshhuda
139,man,angry,2016,loveshhuda
