frame_number,man/woman,emotion,year,movie_name
93,woman,sad,2016,m_cream
14,man,happy,2016,m_cream
98,man,sad,2016,m_cream
98,woman,sad,2016,m_cream
61,woman,happy,2016,m_cream
11,man,happy,2016,m_cream
96,woman,angry,2016,m_cream
20,man,neutral,2016,m_cream
15,man,happy,2016,m_cream
35,woman,sad,2016,m_cream
36,man,angry,2016,m_cream
107,woman,sad,2016,m_cream
70,man,sad,2016,m_cream
33,woman,neutral,2016,m_cream
102,woman,angry,2016,m_cream
102,man,happy,2016,m_cream
37,woman,sad,2016,m_cream
83,man,angry,2016,m_cream
13,man,happy,2016,m_cream
24,man,happy,2016,m_cream
46,man,angry,2016,m_cream
10,man,happy,2016,m_cream
119,woman,happy,2016,m_cream
113,woman,sad,2016,m_cream
100,woman,angry,2016,m_cream
32,woman,happy,2016,m_cream
47,man,happy,2016,m_cream
48,woman,angry,2016,m_cream
101,woman,neutral,2016,m_cream
99,woman,happy,2016,m_cream
99,man,angry,2016,m_cream
97,man,sad,2016,m_cream
97,woman,sad,2016,m_cream
34,man,angry,2016,m_cream
21,man,happy,2016,m_cream
57,woman,happy,2016,m_cream
23,man,neutral,2016,m_cream
