frame_number,man/woman,emotion,year,movie_name
14,man,sad,2016,madaari
58,man,neutral,2016,madaari
44,man,angry,2016,madaari
131,man,sad,2016,madaari
20,man,neutral,2016,madaari
170,man,happy,2016,madaari
30,man,neutral,2016,madaari
15,man,sad,2016,madaari
125,man,sad,2016,madaari
76,man,neutral,2016,madaari
36,man,angry,2016,madaari
104,man,sad,2016,madaari
53,man,sad,2016,madaari
49,man,happy,2016,madaari
171,man,happy,2016,madaari
92,man,angry,2016,madaari
37,man,angry,2016,madaari
82,man,neutral,2016,madaari
81,man,neutral,2016,madaari
123,man,sad,2016,madaari
124,man,sad,2016,madaari
130,man,angry,2016,madaari
