frame_number,man/woman,emotion,year,movie_name
122,man,neutral,2016,mohenjo_daro
60,man,neutral,2016,mohenjo_daro
71,man,angry,2016,mohenjo_daro
30,man,neutral,2016,mohenjo_daro
149,man,sad,2016,mohenjo_daro
45,man,angry,2016,mohenjo_daro
55,woman,happy,2016,mohenjo_daro
55,woman,happy,2016,mohenjo_daro
55,woman,happy,2016,mohenjo_daro
55,man,happy,2016,mohenjo_daro
155,man,neutral,2016,mohenjo_daro
35,man,fear,2016,mohenjo_daro
59,woman,sad,2016,mohenjo_daro
150,man,sad,2016,mohenjo_daro
193,woman,happy,2016,mohenjo_daro
121,man,angry,2016,mohenjo_daro
70,woman,sad,2016,mohenjo_daro
63,man,happy,2016,mohenjo_daro
67,man,neutral,2016,mohenjo_daro
42,man,neutral,2016,mohenjo_daro
103,man,sad,2016,mohenjo_daro
54,woman,happy,2016,mohenjo_daro
54,woman,happy,2016,mohenjo_daro
54,woman,happy,2016,mohenjo_daro
54,woman,sad,2016,mohenjo_daro
40,man,surprise,2016,mohenjo_daro
56,woman,happy,2016,mohenjo_daro
56,man,happy,2016,mohenjo_daro
102,man,sad,2016,mohenjo_daro
151,man,sad,2016,mohenjo_daro
41,man,angry,2016,mohenjo_daro
153,man,angry,2016,mohenjo_daro
100,man,sad,2016,mohenjo_daro
148,man,angry,2016,mohenjo_daro
101,man,sad,2016,mohenjo_daro
200,man,sad,2016,mohenjo_daro
43,man,angry,2016,mohenjo_daro
192,man,happy,2016,mohenjo_daro
152,man,angry,2016,mohenjo_daro
57,man,neutral,2016,mohenjo_daro
64,woman,happy,2016,mohenjo_daro
112,man,angry,2016,mohenjo_daro
31,man,neutral,2016,mohenjo_daro
