frame_number,man/woman,emotion,year,movie_name
28,woman,sad,2016,nil_battey_sannata
98,woman,sad,2016,nil_battey_sannata
62,woman,sad,2016,nil_battey_sannata
132,man,neutral,2016,nil_battey_sannata
132,man,neutral,2016,nil_battey_sannata
94,man,neutral,2016,nil_battey_sannata
44,woman,sad,2016,nil_battey_sannata
96,woman,sad,2016,nil_battey_sannata
125,man,angry,2016,nil_battey_sannata
76,woman,sad,2016,nil_battey_sannata
149,man,sad,2016,nil_battey_sannata
155,woman,happy,2016,nil_battey_sannata
156,woman,happy,2016,nil_battey_sannata
107,woman,neutral,2016,nil_battey_sannata
104,woman,neutral,2016,nil_battey_sannata
106,woman,neutral,2016,nil_battey_sannata
150,man,neutral,2016,nil_battey_sannata
70,man,sad,2016,nil_battey_sannata
63,woman,sad,2016,nil_battey_sannata
69,man,angry,2016,nil_battey_sannata
67,woman,angry,2016,nil_battey_sannata
29,woman,sad,2016,nil_battey_sannata
66,man,angry,2016,nil_battey_sannata
133,man,neutral,2016,nil_battey_sannata
77,man,neutral,2016,nil_battey_sannata
24,woman,sad,2016,nil_battey_sannata
65,woman,sad,2016,nil_battey_sannata
134,man,neutral,2016,nil_battey_sannata
160,woman,happy,2016,nil_battey_sannata
123,man,sad,2016,nil_battey_sannata
100,woman,angry,2016,nil_battey_sannata
127,woman,neutral,2016,nil_battey_sannata
157,woman,happy,2016,nil_battey_sannata
126,woman,sad,2016,nil_battey_sannata
95,woman,angry,2016,nil_battey_sannata
99,man,sad,2016,nil_battey_sannata
78,woman,happy,2016,nil_battey_sannata
97,woman,sad,2016,nil_battey_sannata
105,woman,neutral,2016,nil_battey_sannata
64,woman,sad,2016,nil_battey_sannata
112,man,sad,2016,nil_battey_sannata
79,man,neutral,2016,nil_battey_sannata
75,woman,happy,2016,nil_battey_sannata
25,woman,sad,2016,nil_battey_sannata
80,man,neutral,2016,nil_battey_sannata
