frame_number,man/woman,emotion,year,movie_name
93,woman,sad,2016,pink
85,woman,neutral,2016,pink
94,man,sad,2016,pink
44,man,sad,2016,pink
4,man,angry,2016,pink
88,man,neutral,2016,pink
3,man,angry,2016,pink
128,man,sad,2016,pink
20,man,sad,2016,pink
15,woman,neutral,2016,pink
19,man,neutral,2016,pink
76,man,neutral,2016,pink
108,woman,happy,2016,pink
45,man,sad,2016,pink
91,woman,sad,2016,pink
35,man,angry,2016,pink
70,man,sad,2016,pink
90,man,happy,2016,pink
8,man,sad,2016,pink
63,man,neutral,2016,pink
49,woman,neutral,2016,pink
67,man,surprise,2016,pink
103,woman,sad,2016,pink
89,man,neutral,2016,pink
116,man,sad,2016,pink
33,woman,disgust,2016,pink
74,man,neutral,2016,pink
92,man,angry,2016,pink
83,woman,sad,2016,pink
84,man,angry,2016,pink
7,man,sad,2016,pink
77,man,sad,2016,pink
82,man,happy,2016,pink
24,woman,happy,2016,pink
46,man,fear,2016,pink
17,man,sad,2016,pink
17,man,sad,2016,pink
81,man,sad,2016,pink
9,man,neutral,2016,pink
100,man,sad,2016,pink
32,woman,neutral,2016,pink
127,man,sad,2016,pink
47,woman,sad,2016,pink
48,woman,sad,2016,pink
115,man,sad,2016,pink
101,man,happy,2016,pink
117,man,neutral,2016,pink
34,man,angry,2016,pink
6,man,neutral,2016,pink
64,man,happy,2016,pink
5,man,neutral,2016,pink
112,man,fear,2016,pink
75,man,fear,2016,pink
