frame_number,man/woman,emotion,year,movie_name
85,woman,fear,2016,raaz_reboot
28,woman,neutral,2016,raaz_reboot
51,woman,surprise,2016,raaz_reboot
98,man,fear,2016,raaz_reboot
61,woman,sad,2016,raaz_reboot
131,woman,neutral,2016,raaz_reboot
96,man,neutral,2016,raaz_reboot
88,man,neutral,2016,raaz_reboot
30,man,neutral,2016,raaz_reboot
30,woman,happy,2016,raaz_reboot
55,woman,sad,2016,raaz_reboot
53,woman,fear,2016,raaz_reboot
67,man,angry,2016,raaz_reboot
103,woman,neutral,2016,raaz_reboot
54,woman,sad,2016,raaz_reboot
138,man,surprise,2016,raaz_reboot
135,man,neutral,2016,raaz_reboot
102,woman,neutral,2016,raaz_reboot
29,woman,happy,2016,raaz_reboot
29,woman,neutral,2016,raaz_reboot
13,man,neutral,2016,raaz_reboot
10,man,angry,2016,raaz_reboot
134,man,neutral,2016,raaz_reboot
81,woman,neutral,2016,raaz_reboot
50,man,surprise,2016,raaz_reboot
100,man,angry,2016,raaz_reboot
101,man,fear,2016,raaz_reboot
97,man,neutral,2016,raaz_reboot
6,man,happy,2016,raaz_reboot
130,woman,neutral,2016,raaz_reboot
79,man,sad,2016,raaz_reboot
75,woman,angry,2016,raaz_reboot
80,man,sad,2016,raaz_reboot
