frame_number,man/woman,emotion,year,movie_name
20,woman,happy,2016,rebellious_flower
55,man,angry,2016,rebellious_flower
91,man,sad,2016,rebellious_flower
90,man,sad,2016,rebellious_flower
103,man,neutral,2016,rebellious_flower
54,man,angry,2016,rebellious_flower
40,man,fear,2016,rebellious_flower
116,man,sad,2016,rebellious_flower
56,man,angry,2016,rebellious_flower
74,woman,neutral,2016,rebellious_flower
102,man,neutral,2016,rebellious_flower
41,man,fear,2016,rebellious_flower
115,man,neutral,2016,rebellious_flower
21,woman,neutral,2016,rebellious_flower
22,woman,sad,2016,rebellious_flower
73,man,sad,2016,rebellious_flower
72,woman,sad,2016,rebellious_flower
75,woman,neutral,2016,rebellious_flower
