frame_number,man/woman,emotion,year,movie_name
122,man,angry,2016,rock_on_2
85,woman,angry,2016,rock_on_2
28,man,sad,2016,rock_on_2
51,man,angry,2016,rock_on_2
62,man,neutral,2016,rock_on_2
118,man,angry,2016,rock_on_2
132,man,angry,2016,rock_on_2
4,man,neutral,2016,rock_on_2
131,man,angry,2016,rock_on_2
3,man,neutral,2016,rock_on_2
128,man,angry,2016,rock_on_2
125,man,angry,2016,rock_on_2
19,man,neutral,2016,rock_on_2
120,man,angry,2016,rock_on_2
2,man,neutral,2016,rock_on_2
35,man,sad,2016,rock_on_2
36,woman,sad,2016,rock_on_2
52,man,sad,2016,rock_on_2
68,woman,neutral,2016,rock_on_2
121,man,angry,2016,rock_on_2
38,man,neutral,2016,rock_on_2
53,man,neutral,2016,rock_on_2
63,man,sad,2016,rock_on_2
67,woman,fear,2016,rock_on_2
42,man,sad,2016,rock_on_2
40,man,sad,2016,rock_on_2
33,man,angry,2016,rock_on_2
74,woman,sad,2016,rock_on_2
129,man,angry,2016,rock_on_2
37,man,neutral,2016,rock_on_2
66,woman,sad,2016,rock_on_2
133,man,angry,2016,rock_on_2
24,woman,sad,2016,rock_on_2
46,woman,neutral,2016,rock_on_2
16,man,neutral,2016,rock_on_2
41,man,neutral,2016,rock_on_2
119,man,angry,2016,rock_on_2
123,man,angry,2016,rock_on_2
39,woman,sad,2016,rock_on_2
32,man,angry,2016,rock_on_2
127,man,angry,2016,rock_on_2
48,man,neutral,2016,rock_on_2
126,man,angry,2016,rock_on_2
95,woman,happy,2016,rock_on_2
117,man,angry,2016,rock_on_2
57,man,sad,2016,rock_on_2
124,man,angry,2016,rock_on_2
64,man,sad,2016,rock_on_2
130,man,angry,2016,rock_on_2
5,man,sad,2016,rock_on_2
72,man,sad,2016,rock_on_2
72,woman,sad,2016,rock_on_2
31,man,angry,2016,rock_on_2
