frame_number,man/woman,emotion,year,movie_name
28,man,neutral,2016,rough_book
51,man,surprise,2016,rough_book
62,man,fear,2016,rough_book
60,man,happy,2016,rough_book
58,man,fear,2016,rough_book
58,man,angry,2016,rough_book
61,man,neutral,2016,rough_book
44,man,neutral,2016,rough_book
11,woman,neutral,2016,rough_book
20,man,fear,2016,rough_book
71,man,neutral,2016,rough_book
15,man,sad,2016,rough_book
76,man,neutral,2016,rough_book
76,man,fear,2016,rough_book
45,man,neutral,2016,rough_book
55,man,neutral,2016,rough_book
35,man,sad,2016,rough_book
36,woman,fear,2016,rough_book
59,woman,fear,2016,rough_book
104,man,neutral,2016,rough_book
52,man,sad,2016,rough_book
53,woman,fear,2016,rough_book
63,man,fear,2016,rough_book
67,man,neutral,2016,rough_book
103,man,neutral,2016,rough_book
54,man,fear,2016,rough_book
40,woman,neutral,2016,rough_book
116,woman,fear,2016,rough_book
33,woman,sad,2016,rough_book
74,woman,sad,2016,rough_book
74,woman,neutral,2016,rough_book
102,man,sad,2016,rough_book
66,man,neutral,2016,rough_book
87,man,angry,2016,rough_book
82,man,neutral,2016,rough_book
24,man,neutral,2016,rough_book
46,man,surprise,2016,rough_book
16,man,sad,2016,rough_book
65,man,sad,2016,rough_book
10,woman,neutral,2016,rough_book
81,man,sad,2016,rough_book
50,man,fear,2016,rough_book
113,man,angry,2016,rough_book
39,woman,neutral,2016,rough_book
47,woman,surprise,2016,rough_book
34,man,neutral,2016,rough_book
105,man,sad,2016,rough_book
57,woman,fear,2016,rough_book
57,man,angry,2016,rough_book
64,woman,neutral,2016,rough_book
72,woman,sad,2016,rough_book
72,man,fear,2016,rough_book
79,man,sad,2016,rough_book
79,man,neutral,2016,rough_book
23,woman,sad,2016,rough_book
75,woman,sad,2016,rough_book
75,woman,fear,2016,rough_book
25,man,sad,2016,rough_book
80,man,sad,2016,rough_book
31,man,happy,2016,rough_book
