frame_number,man/woman,emotion,year,movie_name
122,man,disgust,2016,rustom
62,man,neutral,2016,rustom
60,man,sad,2016,rustom
118,woman,fear,2016,rustom
111,man,happy,2016,rustom
58,man,neutral,2016,rustom
61,man,neutral,2016,rustom
96,man,sad,2016,rustom
88,woman,neutral,2016,rustom
147,man,neutral,2016,rustom
30,woman,happy,2016,rustom
125,woman,surprise,2016,rustom
120,man,fear,2016,rustom
120,man,neutral,2016,rustom
163,man,neutral,2016,rustom
108,man,sad,2016,rustom
86,woman,fear,2016,rustom
156,man,fear,2016,rustom
91,man,sad,2016,rustom
59,woman,sad,2016,rustom
104,man,sad,2016,rustom
162,man,neutral,2016,rustom
106,man,neutral,2016,rustom
121,man,fear,2016,rustom
121,man,angry,2016,rustom
90,man,sad,2016,rustom
53,man,neutral,2016,rustom
142,man,sad,2016,rustom
63,man,neutral,2016,rustom
165,man,neutral,2016,rustom
54,man,neutral,2016,rustom
40,man,happy,2016,rustom
40,man,happy,2016,rustom
89,man,fear,2016,rustom
74,man,angry,2016,rustom
74,woman,neutral,2016,rustom
110,man,neutral,2016,rustom
146,man,neutral,2016,rustom
146,man,neutral,2016,rustom
87,woman,angry,2016,rustom
82,man,angry,2016,rustom
167,man,neutral,2016,rustom
10,man,angry,2016,rustom
166,man,neutral,2016,rustom
81,man,angry,2016,rustom
123,man,fear,2016,rustom
32,man,sad,2016,rustom
115,woman,neutral,2016,rustom
126,woman,fear,2016,rustom
95,man,sad,2016,rustom
99,woman,sad,2016,rustom
73,man,happy,2016,rustom
124,woman,disgust,2016,rustom
75,man,fear,2016,rustom
75,woman,neutral,2016,rustom
