frame_number,man/woman,emotion,year,movie_name
94,man,sad,2016,saansein
96,woman,neutral,2016,saansein
88,woman,fear,2016,saansein
128,man,sad,2016,saansein
120,man,sad,2016,saansein
108,man,angry,2016,saansein
86,woman,neutral,2016,saansein
55,man,angry,2016,saansein
35,man,sad,2016,saansein
106,man,neutral,2016,saansein
52,woman,sad,2016,saansein
68,woman,fear,2016,saansein
121,man,sad,2016,saansein
142,man,sad,2016,saansein
49,man,sad,2016,saansein
69,woman,fear,2016,saansein
67,man,sad,2016,saansein
103,woman,happy,2016,saansein
138,man,angry,2016,saansein
89,woman,fear,2016,saansein
33,woman,sad,2016,saansein
33,man,sad,2016,saansein
109,man,sad,2016,saansein
92,woman,fear,2016,saansein
102,man,neutral,2016,saansein
110,man,neutral,2016,saansein
87,woman,fear,2016,saansein
65,man,fear,2016,saansein
10,man,angry,2016,saansein
9,man,angry,2016,saansein
137,man,angry,2016,saansein
115,man,sad,2016,saansein
99,man,neutral,2016,saansein
78,woman,sad,2016,saansein
34,man,sad,2016,saansein
105,man,neutral,2016,saansein
64,man,fear,2016,saansein
