frame_number,man/woman,emotion,year,movie_name
85,man,neutral,2016,saat_uchakkey
28,woman,sad,2016,saat_uchakkey
51,man,angry,2016,saat_uchakkey
71,man,angry,2016,saat_uchakkey
30,woman,angry,2016,saat_uchakkey
45,man,fear,2016,saat_uchakkey
107,man,sad,2016,saat_uchakkey
104,woman,angry,2016,saat_uchakkey
52,man,angry,2016,saat_uchakkey
53,man,angry,2016,saat_uchakkey
63,man,angry,2016,saat_uchakkey
49,woman,sad,2016,saat_uchakkey
49,man,sad,2016,saat_uchakkey
49,man,fear,2016,saat_uchakkey
69,man,surprise,2016,saat_uchakkey
42,man,angry,2016,saat_uchakkey
103,woman,angry,2016,saat_uchakkey
54,man,neutral,2016,saat_uchakkey
40,man,angry,2016,saat_uchakkey
40,man,sad,2016,saat_uchakkey
109,woman,happy,2016,saat_uchakkey
109,woman,happy,2016,saat_uchakkey
29,man,sad,2016,saat_uchakkey
27,woman,sad,2016,saat_uchakkey
24,man,sad,2016,saat_uchakkey
46,woman,sad,2016,saat_uchakkey
46,man,sad,2016,saat_uchakkey
16,woman,sad,2016,saat_uchakkey
17,man,sad,2016,saat_uchakkey
41,man,angry,2016,saat_uchakkey
10,man,angry,2016,saat_uchakkey
81,woman,sad,2016,saat_uchakkey
81,man,angry,2016,saat_uchakkey
81,man,surprise,2016,saat_uchakkey
47,woman,sad,2016,saat_uchakkey
47,man,sad,2016,saat_uchakkey
48,woman,sad,2016,saat_uchakkey
48,man,sad,2016,saat_uchakkey
48,man,neutral,2016,saat_uchakkey
115,woman,neutral,2016,saat_uchakkey
115,man,neutral,2016,saat_uchakkey
43,man,sad,2016,saat_uchakkey
114,woman,fear,2016,saat_uchakkey
23,man,sad,2016,saat_uchakkey
80,man,angry,2016,saat_uchakkey
31,woman,fear,2016,saat_uchakkey
