frame_number,man/woman,emotion,year,movie_name
93,man,sad,2016,santa_banta_pvt_ltd
14,woman,sad,2016,santa_banta_pvt_ltd
85,man,happy,2016,santa_banta_pvt_ltd
51,man,angry,2016,santa_banta_pvt_ltd
51,man,fear,2016,santa_banta_pvt_ltd
94,woman,neutral,2016,santa_banta_pvt_ltd
11,man,happy,2016,santa_banta_pvt_ltd
20,man,happy,2016,santa_banta_pvt_ltd
20,man,neutral,2016,santa_banta_pvt_ltd
15,man,neutral,2016,santa_banta_pvt_ltd
19,man,neutral,2016,santa_banta_pvt_ltd
76,man,angry,2016,santa_banta_pvt_ltd
52,man,angry,2016,santa_banta_pvt_ltd
52,man,fear,2016,santa_banta_pvt_ltd
53,man,angry,2016,santa_banta_pvt_ltd
53,man,sad,2016,santa_banta_pvt_ltd
12,man,sad,2016,santa_banta_pvt_ltd
49,man,angry,2016,santa_banta_pvt_ltd
49,man,sad,2016,santa_banta_pvt_ltd
103,man,happy,2016,santa_banta_pvt_ltd
54,man,happy,2016,santa_banta_pvt_ltd
89,man,neutral,2016,santa_banta_pvt_ltd
56,man,sad,2016,santa_banta_pvt_ltd
56,woman,angry,2016,santa_banta_pvt_ltd
74,man,neutral,2016,santa_banta_pvt_ltd
92,woman,sad,2016,santa_banta_pvt_ltd
83,man,happy,2016,santa_banta_pvt_ltd
84,man,happy,2016,santa_banta_pvt_ltd
13,man,neutral,2016,santa_banta_pvt_ltd
77,man,surprise,2016,santa_banta_pvt_ltd
82,man,neutral,2016,santa_banta_pvt_ltd
16,woman,neutral,2016,santa_banta_pvt_ltd
10,woman,sad,2016,santa_banta_pvt_ltd
50,man,angry,2016,santa_banta_pvt_ltd
50,man,fear,2016,santa_banta_pvt_ltd
113,man,sad,2016,santa_banta_pvt_ltd
9,woman,fear,2016,santa_banta_pvt_ltd
100,woman,happy,2016,santa_banta_pvt_ltd
48,woman,fear,2016,santa_banta_pvt_ltd
48,man,angry,2016,santa_banta_pvt_ltd
78,woman,angry,2016,santa_banta_pvt_ltd
21,man,neutral,2016,santa_banta_pvt_ltd
21,woman,sad,2016,santa_banta_pvt_ltd
57,man,sad,2016,santa_banta_pvt_ltd
79,man,happy,2016,santa_banta_pvt_ltd
18,man,neutral,2016,santa_banta_pvt_ltd
