frame_number,man/woman,emotion,year,movie_name
93,man,happy,2016,shorgul
85,man,neutral,2016,shorgul
11,man,happy,2016,shorgul
88,man,fear,2016,shorgul
30,man,angry,2016,shorgul
30,man,angry,2016,shorgul
15,man,sad,2016,shorgul
86,man,sad,2016,shorgul
45,woman,happy,2016,shorgul
53,woman,sad,2016,shorgul
12,man,happy,2016,shorgul
12,man,sad,2016,shorgul
12,man,sad,2016,shorgul
63,woman,neutral,2016,shorgul
54,man,neutral,2016,shorgul
92,man,neutral,2016,shorgul
29,woman,angry,2016,shorgul
29,man,sad,2016,shorgul
37,man,neutral,2016,shorgul
37,man,angry,2016,shorgul
84,woman,fear,2016,shorgul
13,man,happy,2016,shorgul
13,man,happy,2016,shorgul
77,man,angry,2016,shorgul
87,man,fear,2016,shorgul
16,man,neutral,2016,shorgul
17,man,sad,2016,shorgul
10,man,angry,2016,shorgul
43,man,happy,2016,shorgul
43,woman,neutral,2016,shorgul
79,man,sad,2016,shorgul
79,man,angry,2016,shorgul
18,man,neutral,2016,shorgul
80,man,neutral,2016,shorgul
