frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2016,sultan
51,woman,fear,2016,sultan
44,woman,surprise,2016,sultan
44,woman,neutral,2016,sultan
185,man,angry,2016,sultan
20,man,fear,2016,sultan
170,man,angry,2016,sultan
149,man,angry,2016,sultan
86,man,sad,2016,sultan
55,man,neutral,2016,sultan
35,woman,sad,2016,sultan
35,woman,neutral,2016,sultan
184,man,angry,2016,sultan
104,man,neutral,2016,sultan
52,man,angry,2016,sultan
186,man,angry,2016,sultan
70,woman,sad,2016,sultan
38,man,sad,2016,sultan
38,man,angry,2016,sultan
53,man,sad,2016,sultan
142,man,angry,2016,sultan
49,man,neutral,2016,sultan
171,man,happy,2016,sultan
54,man,neutral,2016,sultan
40,man,sad,2016,sultan
40,man,surprise,2016,sultan
92,man,angry,2016,sultan
102,woman,happy,2016,sultan
37,man,angry,2016,sultan
37,man,sad,2016,sultan
133,man,sad,2016,sultan
46,man,sad,2016,sultan
50,man,neutral,2016,sultan
100,man,fear,2016,sultan
39,woman,happy,2016,sultan
47,man,fear,2016,sultan
48,woman,surprise,2016,sultan
126,man,fear,2016,sultan
99,man,neutral,2016,sultan
78,man,angry,2016,sultan
187,man,angry,2016,sultan
105,woman,angry,2016,sultan
43,man,fear,2016,sultan
43,man,surprise,2016,sultan
21,man,sad,2016,sultan
73,man,fear,2016,sultan
189,man,angry,2016,sultan
124,man,angry,2016,sultan
72,woman,surprise,2016,sultan
75,man,sad,2016,sultan
188,man,angry,2016,sultan
