frame_number,man/woman,emotion,year,movie_name
85,man,sad,2016,te3n
28,woman,sad,2016,te3n
128,man,neutral,2016,te3n
30,man,sad,2016,te3n
106,woman,fear,2016,te3n
53,man,angry,2016,te3n
54,man,neutral,2016,te3n
33,man,neutral,2016,te3n
102,man,angry,2016,te3n
29,man,sad,2016,te3n
129,man,sad,2016,te3n
87,man,happy,2016,te3n
82,man,neutral,2016,te3n
32,man,neutral,2016,te3n
127,man,sad,2016,te3n
126,man,sad,2016,te3n
95,man,neutral,2016,te3n
130,man,sad,2016,te3n
79,woman,surprise,2016,te3n
31,man,sad,2016,te3n
