frame_number,man/woman,emotion,year,movie_name
122,man,sad,2016,traffic
58,man,sad,2016,traffic
96,man,sad,2016,traffic
108,man,angry,2016,traffic
91,man,sad,2016,traffic
107,man,sad,2016,traffic
68,man,angry,2016,traffic
121,man,angry,2016,traffic
26,man,sad,2016,traffic
63,man,fear,2016,traffic
69,man,angry,2016,traffic
69,man,neutral,2016,traffic
67,man,neutral,2016,traffic
42,man,sad,2016,traffic
56,man,sad,2016,traffic
33,man,happy,2016,traffic
109,woman,neutral,2016,traffic
66,man,fear,2016,traffic
13,man,disgust,2016,traffic
27,man,sad,2016,traffic
81,man,angry,2016,traffic
123,man,fear,2016,traffic
99,man,sad,2016,traffic
34,man,sad,2016,traffic
57,man,sad,2016,traffic
64,man,fear,2016,traffic
80,man,sad,2016,traffic
80,man,happy,2016,traffic
