frame_number,man/woman,emotion,year,movie_name
51,man,sad,2016,tum_bin_2
58,woman,fear,2016,tum_bin_2
36,man,sad,2016,tum_bin_2
52,man,sad,2016,tum_bin_2
38,man,sad,2016,tum_bin_2
38,woman,sad,2016,tum_bin_2
53,man,angry,2016,tum_bin_2
63,man,angry,2016,tum_bin_2
54,man,sad,2016,tum_bin_2
40,woman,sad,2016,tum_bin_2
74,woman,fear,2016,tum_bin_2
37,man,sad,2016,tum_bin_2
37,man,fear,2016,tum_bin_2
46,woman,sad,2016,tum_bin_2
65,woman,sad,2016,tum_bin_2
41,woman,sad,2016,tum_bin_2
50,man,sad,2016,tum_bin_2
39,man,angry,2016,tum_bin_2
47,man,sad,2016,tum_bin_2
34,woman,sad,2016,tum_bin_2
73,man,sad,2016,tum_bin_2
75,woman,sad,2016,tum_bin_2
