frame_number,man/woman,emotion,year,movie_name
122,woman,surprise,2016,tutak_tutak_tutiya
122,man,happy,2016,tutak_tutak_tutiya
122,man,sad,2016,tutak_tutak_tutiya
28,woman,neutral,2016,tutak_tutak_tutiya
98,woman,neutral,2016,tutak_tutak_tutiya
98,man,fear,2016,tutak_tutak_tutiya
62,man,neutral,2016,tutak_tutak_tutiya
58,woman,angry,2016,tutak_tutak_tutiya
61,man,neutral,2016,tutak_tutak_tutiya
44,woman,fear,2016,tutak_tutak_tutiya
4,man,angry,2016,tutak_tutak_tutiya
128,woman,disgust,2016,tutak_tutak_tutiya
128,man,sad,2016,tutak_tutak_tutiya
128,man,happy,2016,tutak_tutak_tutiya
125,woman,angry,2016,tutak_tutak_tutiya
125,man,sad,2016,tutak_tutak_tutiya
76,woman,neutral,2016,tutak_tutak_tutiya
108,man,angry,2016,tutak_tutak_tutiya
108,man,angry,2016,tutak_tutak_tutiya
45,man,fear,2016,tutak_tutak_tutiya
55,man,fear,2016,tutak_tutak_tutiya
59,woman,angry,2016,tutak_tutak_tutiya
107,man,neutral,2016,tutak_tutak_tutiya
107,woman,angry,2016,tutak_tutak_tutiya
104,man,angry,2016,tutak_tutak_tutiya
106,woman,neutral,2016,tutak_tutak_tutiya
106,woman,angry,2016,tutak_tutak_tutiya
70,man,angry,2016,tutak_tutak_tutiya
26,man,neutral,2016,tutak_tutak_tutiya
53,woman,neutral,2016,tutak_tutak_tutiya
67,man,neutral,2016,tutak_tutak_tutiya
67,woman,neutral,2016,tutak_tutak_tutiya
42,man,neutral,2016,tutak_tutak_tutiya
54,man,neutral,2016,tutak_tutak_tutiya
54,woman,neutral,2016,tutak_tutak_tutiya
40,man,fear,2016,tutak_tutak_tutiya
56,man,neutral,2016,tutak_tutak_tutiya
109,woman,angry,2016,tutak_tutak_tutiya
109,woman,fear,2016,tutak_tutak_tutiya
74,man,angry,2016,tutak_tutak_tutiya
29,woman,neutral,2016,tutak_tutak_tutiya
129,woman,sad,2016,tutak_tutak_tutiya
129,man,happy,2016,tutak_tutak_tutiya
129,woman,sad,2016,tutak_tutak_tutiya
66,man,sad,2016,tutak_tutak_tutiya
27,woman,neutral,2016,tutak_tutak_tutiya
46,woman,neutral,2016,tutak_tutak_tutiya
65,man,fear,2016,tutak_tutak_tutiya
41,man,angry,2016,tutak_tutak_tutiya
81,man,surprise,2016,tutak_tutak_tutiya
123,man,sad,2016,tutak_tutak_tutiya
39,woman,neutral,2016,tutak_tutak_tutiya
47,man,neutral,2016,tutak_tutak_tutiya
117,man,neutral,2016,tutak_tutak_tutiya
97,woman,sad,2016,tutak_tutak_tutiya
97,man,sad,2016,tutak_tutak_tutiya
105,man,angry,2016,tutak_tutak_tutiya
43,woman,neutral,2016,tutak_tutak_tutiya
21,woman,happy,2016,tutak_tutak_tutiya
57,woman,fear,2016,tutak_tutak_tutiya
124,man,happy,2016,tutak_tutak_tutiya
75,man,angry,2016,tutak_tutak_tutiya
18,man,fear,2016,tutak_tutak_tutiya
