frame_number,man/woman,emotion,year,movie_name
93,woman,angry,2016,waiting
85,woman,fear,2016,waiting
62,woman,happy,2016,waiting
94,woman,fear,2016,waiting
61,woman,sad,2016,waiting
20,woman,fear,2016,waiting
19,woman,sad,2016,waiting
76,woman,happy,2016,waiting
86,woman,fear,2016,waiting
45,man,sad,2016,waiting
35,woman,fear,2016,waiting
36,man,sad,2016,waiting
59,woman,happy,2016,waiting
68,woman,happy,2016,waiting
49,man,sad,2016,waiting
69,woman,happy,2016,waiting
67,woman,happy,2016,waiting
109,woman,fear,2016,waiting
84,woman,sad,2016,waiting
13,man,sad,2016,waiting
82,woman,sad,2016,waiting
24,man,happy,2016,waiting
46,man,angry,2016,waiting
10,man,fear,2016,waiting
81,woman,sad,2016,waiting
50,woman,neutral,2016,waiting
97,man,happy,2016,waiting
21,man,angry,2016,waiting
22,man,neutral,2016,waiting
5,man,sad,2016,waiting
23,woman,fear,2016,waiting
31,woman,sad,2016,waiting
