frame_number,man/woman,emotion,year,movie_name
122,man,neutral,2016,wajah_tum_ho
14,man,sad,2016,wajah_tum_ho
98,man,neutral,2016,wajah_tum_ho
62,man,neutral,2016,wajah_tum_ho
62,man,sad,2016,wajah_tum_ho
60,man,neutral,2016,wajah_tum_ho
118,woman,fear,2016,wajah_tum_ho
111,man,neutral,2016,wajah_tum_ho
58,man,angry,2016,wajah_tum_ho
58,man,neutral,2016,wajah_tum_ho
61,man,sad,2016,wajah_tum_ho
61,man,sad,2016,wajah_tum_ho
96,woman,happy,2016,wajah_tum_ho
76,man,angry,2016,wajah_tum_ho
36,woman,neutral,2016,wajah_tum_ho
59,man,neutral,2016,wajah_tum_ho
121,man,neutral,2016,wajah_tum_ho
135,man,angry,2016,wajah_tum_ho
143,woman,sad,2016,wajah_tum_ho
29,woman,neutral,2016,wajah_tum_ho
83,man,neutral,2016,wajah_tum_ho
84,man,angry,2016,wajah_tum_ho
144,woman,neutral,2016,wajah_tum_ho
27,woman,fear,2016,wajah_tum_ho
87,man,angry,2016,wajah_tum_ho
134,man,angry,2016,wajah_tum_ho
32,woman,neutral,2016,wajah_tum_ho
78,man,fear,2016,wajah_tum_ho
97,woman,surprise,2016,wajah_tum_ho
73,woman,neutral,2016,wajah_tum_ho
73,woman,surprise,2016,wajah_tum_ho
72,man,surprise,2016,wajah_tum_ho
79,man,neutral,2016,wajah_tum_ho
23,man,angry,2016,wajah_tum_ho
80,woman,sad,2016,wajah_tum_ho
