frame_number,man/woman,emotion,year,movie_name
62,man,angry,2016,wazir
60,woman,sad,2016,wazir
60,man,angry,2016,wazir
94,man,angry,2016,wazir
58,man,sad,2016,wazir
61,woman,neutral,2016,wazir
61,man,angry,2016,wazir
71,woman,sad,2016,wazir
15,woman,angry,2016,wazir
45,man,happy,2016,wazir
52,man,happy,2016,wazir
68,man,angry,2016,wazir
53,man,happy,2016,wazir
63,man,surprise,2016,wazir
49,man,neutral,2016,wazir
89,man,angry,2016,wazir
92,man,neutral,2016,wazir
16,man,neutral,2016,wazir
17,man,sad,2016,wazir
65,man,neutral,2016,wazir
10,man,angry,2016,wazir
81,man,angry,2016,wazir
50,man,neutral,2016,wazir
95,man,angry,2016,wazir
34,man,neutral,2016,wazir
43,man,sad,2016,wazir
73,man,sad,2016,wazir
57,woman,sad,2016,wazir
79,woman,sad,2016,wazir
25,woman,happy,2016,wazir
31,man,happy,2016,wazir
