frame_number,man/woman,emotion,year,movie_name
93,woman,fear,2016,yea_toh_two_much_ho_gayaa
122,man,disgust,2016,yea_toh_two_much_ho_gayaa
28,man,angry,2016,yea_toh_two_much_ho_gayaa
62,man,happy,2016,yea_toh_two_much_ho_gayaa
58,woman,neutral,2016,yea_toh_two_much_ho_gayaa
58,man,angry,2016,yea_toh_two_much_ho_gayaa
96,man,angry,2016,yea_toh_two_much_ho_gayaa
71,man,angry,2016,yea_toh_two_much_ho_gayaa
30,woman,angry,2016,yea_toh_two_much_ho_gayaa
15,woman,fear,2016,yea_toh_two_much_ho_gayaa
108,man,neutral,2016,yea_toh_two_much_ho_gayaa
86,woman,happy,2016,yea_toh_two_much_ho_gayaa
45,man,fear,2016,yea_toh_two_much_ho_gayaa
59,man,neutral,2016,yea_toh_two_much_ho_gayaa
104,woman,sad,2016,yea_toh_two_much_ho_gayaa
106,man,surprise,2016,yea_toh_two_much_ho_gayaa
121,man,angry,2016,yea_toh_two_much_ho_gayaa
70,man,angry,2016,yea_toh_two_much_ho_gayaa
90,man,disgust,2016,yea_toh_two_much_ho_gayaa
26,man,angry,2016,yea_toh_two_much_ho_gayaa
53,woman,sad,2016,yea_toh_two_much_ho_gayaa
63,man,angry,2016,yea_toh_two_much_ho_gayaa
40,man,happy,2016,yea_toh_two_much_ho_gayaa
74,man,fear,2016,yea_toh_two_much_ho_gayaa
102,man,neutral,2016,yea_toh_two_much_ho_gayaa
66,man,neutral,2016,yea_toh_two_much_ho_gayaa
13,man,happy,2016,yea_toh_two_much_ho_gayaa
27,man,angry,2016,yea_toh_two_much_ho_gayaa
82,woman,fear,2016,yea_toh_two_much_ho_gayaa
10,man,sad,2016,yea_toh_two_much_ho_gayaa
81,woman,sad,2016,yea_toh_two_much_ho_gayaa
123,woman,angry,2016,yea_toh_two_much_ho_gayaa
32,woman,angry,2016,yea_toh_two_much_ho_gayaa
95,man,neutral,2016,yea_toh_two_much_ho_gayaa
117,man,happy,2016,yea_toh_two_much_ho_gayaa
97,man,sad,2016,yea_toh_two_much_ho_gayaa
34,man,angry,2016,yea_toh_two_much_ho_gayaa
105,woman,sad,2016,yea_toh_two_much_ho_gayaa
21,man,neutral,2016,yea_toh_two_much_ho_gayaa
6,man,surprise,2016,yea_toh_two_much_ho_gayaa
6,woman,fear,2016,yea_toh_two_much_ho_gayaa
73,man,neutral,2016,yea_toh_two_much_ho_gayaa
73,man,angry,2016,yea_toh_two_much_ho_gayaa
64,man,neutral,2016,yea_toh_two_much_ho_gayaa
72,man,neutral,2016,yea_toh_two_much_ho_gayaa
79,woman,fear,2016,yea_toh_two_much_ho_gayaa
75,woman,sad,2016,yea_toh_two_much_ho_gayaa
80,man,neutral,2016,yea_toh_two_much_ho_gayaa
31,woman,angry,2016,yea_toh_two_much_ho_gayaa
