frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2017,102_not_out
122,man,disgust,2017,102_not_out
85,man,sad,2017,102_not_out
28,woman,sad,2017,102_not_out
51,man,angry,2017,102_not_out
51,man,neutral,2017,102_not_out
98,man,sad,2017,102_not_out
62,man,angry,2017,102_not_out
60,man,neutral,2017,102_not_out
118,man,angry,2017,102_not_out
111,man,sad,2017,102_not_out
132,man,angry,2017,102_not_out
94,woman,neutral,2017,102_not_out
58,woman,neutral,2017,102_not_out
61,man,angry,2017,102_not_out
44,man,neutral,2017,102_not_out
96,man,sad,2017,102_not_out
88,man,fear,2017,102_not_out
147,man,sad,2017,102_not_out
20,man,sad,2017,102_not_out
149,man,neutral,2017,102_not_out
45,man,happy,2017,102_not_out
55,man,angry,2017,102_not_out
91,man,sad,2017,102_not_out
91,man,sad,2017,102_not_out
35,man,neutral,2017,102_not_out
36,man,neutral,2017,102_not_out
36,man,neutral,2017,102_not_out
59,man,neutral,2017,102_not_out
107,woman,happy,2017,102_not_out
106,woman,fear,2017,102_not_out
52,man,angry,2017,102_not_out
150,man,neutral,2017,102_not_out
121,woman,happy,2017,102_not_out
90,man,sad,2017,102_not_out
90,man,sad,2017,102_not_out
26,woman,neutral,2017,102_not_out
53,man,neutral,2017,102_not_out
53,woman,fear,2017,102_not_out
145,man,happy,2017,102_not_out
142,woman,neutral,2017,102_not_out
63,man,neutral,2017,102_not_out
103,woman,fear,2017,102_not_out
54,man,sad,2017,102_not_out
89,man,sad,2017,102_not_out
89,man,sad,2017,102_not_out
116,woman,sad,2017,102_not_out
135,man,sad,2017,102_not_out
56,man,neutral,2017,102_not_out
143,man,neutral,2017,102_not_out
37,man,fear,2017,102_not_out
37,man,neutral,2017,102_not_out
151,man,sad,2017,102_not_out
66,man,angry,2017,102_not_out
144,man,happy,2017,102_not_out
133,man,angry,2017,102_not_out
136,man,neutral,2017,102_not_out
77,man,neutral,2017,102_not_out
146,man,happy,2017,102_not_out
87,man,neutral,2017,102_not_out
82,woman,happy,2017,102_not_out
141,man,sad,2017,102_not_out
24,man,sad,2017,102_not_out
46,man,angry,2017,102_not_out
134,man,angry,2017,102_not_out
119,man,surprise,2017,102_not_out
100,man,angry,2017,102_not_out
148,man,sad,2017,102_not_out
32,man,angry,2017,102_not_out
115,man,angry,2017,102_not_out
95,man,angry,2017,102_not_out
99,man,angry,2017,102_not_out
117,woman,sad,2017,102_not_out
97,man,sad,2017,102_not_out
34,man,neutral,2017,102_not_out
21,man,happy,2017,102_not_out
114,woman,sad,2017,102_not_out
22,man,sad,2017,102_not_out
152,man,sad,2017,102_not_out
57,woman,happy,2017,102_not_out
64,man,neutral,2017,102_not_out
130,man,sad,2017,102_not_out
79,man,happy,2017,102_not_out
23,woman,neutral,2017,102_not_out
18,woman,sad,2017,102_not_out
18,woman,neutral,2017,102_not_out
25,woman,neutral,2017,102_not_out
31,man,angry,2017,102_not_out
