frame_number,man/woman,emotion,year,movie_name
51,man,sad,2017,a_death_in_the_gunj
30,man,neutral,2017,a_death_in_the_gunj
35,man,happy,2017,a_death_in_the_gunj
52,man,sad,2017,a_death_in_the_gunj
70,woman,sad,2017,a_death_in_the_gunj
70,man,angry,2017,a_death_in_the_gunj
53,man,sad,2017,a_death_in_the_gunj
49,man,angry,2017,a_death_in_the_gunj
49,woman,sad,2017,a_death_in_the_gunj
54,man,sad,2017,a_death_in_the_gunj
33,woman,sad,2017,a_death_in_the_gunj
65,woman,happy,2017,a_death_in_the_gunj
50,woman,sad,2017,a_death_in_the_gunj
50,woman,sad,2017,a_death_in_the_gunj
34,man,happy,2017,a_death_in_the_gunj
75,man,sad,2017,a_death_in_the_gunj
25,man,neutral,2017,a_death_in_the_gunj
