frame_number,man/woman,emotion,year,movie_name
111,woman,angry,2017,ajab_singh_ki_gajab_kahani
132,man,sad,2017,ajab_singh_ki_gajab_kahani
132,man,happy,2017,ajab_singh_ki_gajab_kahani
131,man,angry,2017,ajab_singh_ki_gajab_kahani
3,woman,angry,2017,ajab_singh_ki_gajab_kahani
155,man,angry,2017,ajab_singh_ki_gajab_kahani
35,man,angry,2017,ajab_singh_ki_gajab_kahani
162,man,angry,2017,ajab_singh_ki_gajab_kahani
162,man,angry,2017,ajab_singh_ki_gajab_kahani
68,man,neutral,2017,ajab_singh_ki_gajab_kahani
53,man,angry,2017,ajab_singh_ki_gajab_kahani
69,woman,neutral,2017,ajab_singh_ki_gajab_kahani
54,man,angry,2017,ajab_singh_ki_gajab_kahani
102,man,angry,2017,ajab_singh_ki_gajab_kahani
129,woman,neutral,2017,ajab_singh_ki_gajab_kahani
87,man,sad,2017,ajab_singh_ki_gajab_kahani
87,man,sad,2017,ajab_singh_ki_gajab_kahani
126,man,neutral,2017,ajab_singh_ki_gajab_kahani
34,man,angry,2017,ajab_singh_ki_gajab_kahani
73,woman,angry,2017,ajab_singh_ki_gajab_kahani
72,woman,happy,2017,ajab_singh_ki_gajab_kahani
