frame_number,man/woman,emotion,year,movie_name
85,man,neutral,2017,baadshaho
85,man,sad,2017,baadshaho
20,woman,sad,2017,baadshaho
86,man,sad,2017,baadshaho
59,man,sad,2017,baadshaho
8,man,sad,2017,baadshaho
63,woman,neutral,2017,baadshaho
56,man,fear,2017,baadshaho
37,man,sad,2017,baadshaho
37,man,neutral,2017,baadshaho
81,man,neutral,2017,baadshaho
39,man,neutral,2017,baadshaho
39,man,sad,2017,baadshaho
32,man,sad,2017,baadshaho
97,woman,sad,2017,baadshaho
34,man,sad,2017,baadshaho
105,woman,neutral,2017,baadshaho
43,man,neutral,2017,baadshaho
