frame_number,man/woman,emotion,year,movie_name
93,woman,angry,2017,babu_ji_ek_ticket_bambai
44,man,happy,2017,babu_ji_ek_ticket_bambai
20,woman,neutral,2017,babu_ji_ek_ticket_bambai
20,man,neutral,2017,babu_ji_ek_ticket_bambai
71,woman,neutral,2017,babu_ji_ek_ticket_bambai
19,woman,angry,2017,babu_ji_ek_ticket_bambai
19,woman,angry,2017,babu_ji_ek_ticket_bambai
19,man,neutral,2017,babu_ji_ek_ticket_bambai
91,man,sad,2017,babu_ji_ek_ticket_bambai
70,man,angry,2017,babu_ji_ek_ticket_bambai
12,woman,angry,2017,babu_ji_ek_ticket_bambai
42,woman,sad,2017,babu_ji_ek_ticket_bambai
103,man,happy,2017,babu_ji_ek_ticket_bambai
40,man,happy,2017,babu_ji_ek_ticket_bambai
74,woman,angry,2017,babu_ji_ek_ticket_bambai
92,woman,sad,2017,babu_ji_ek_ticket_bambai
83,woman,neutral,2017,babu_ji_ek_ticket_bambai
83,woman,sad,2017,babu_ji_ek_ticket_bambai
83,man,angry,2017,babu_ji_ek_ticket_bambai
41,woman,sad,2017,babu_ji_ek_ticket_bambai
100,man,sad,2017,babu_ji_ek_ticket_bambai
39,man,happy,2017,babu_ji_ek_ticket_bambai
32,woman,sad,2017,babu_ji_ek_ticket_bambai
101,woman,sad,2017,babu_ji_ek_ticket_bambai
43,man,happy,2017,babu_ji_ek_ticket_bambai
72,woman,surprise,2017,babu_ji_ek_ticket_bambai
79,woman,sad,2017,babu_ji_ek_ticket_bambai
79,man,angry,2017,babu_ji_ek_ticket_bambai
79,man,angry,2017,babu_ji_ek_ticket_bambai
80,woman,neutral,2017,babu_ji_ek_ticket_bambai
80,man,angry,2017,babu_ji_ek_ticket_bambai
