frame_number,man/woman,emotion,year,movie_name
93,man,sad,2017,bareilly_ki_barfi
85,woman,happy,2017,bareilly_ki_barfi
51,man,neutral,2017,bareilly_ki_barfi
60,man,sad,2017,bareilly_ki_barfi
118,woman,surprise,2017,bareilly_ki_barfi
111,man,neutral,2017,bareilly_ki_barfi
132,man,happy,2017,bareilly_ki_barfi
58,man,angry,2017,bareilly_ki_barfi
11,woman,sad,2017,bareilly_ki_barfi
131,woman,neutral,2017,bareilly_ki_barfi
96,man,neutral,2017,bareilly_ki_barfi
88,man,sad,2017,bareilly_ki_barfi
71,man,neutral,2017,bareilly_ki_barfi
19,woman,sad,2017,bareilly_ki_barfi
76,man,neutral,2017,bareilly_ki_barfi
120,man,neutral,2017,bareilly_ki_barfi
120,woman,sad,2017,bareilly_ki_barfi
45,man,neutral,2017,bareilly_ki_barfi
55,man,angry,2017,bareilly_ki_barfi
36,man,happy,2017,bareilly_ki_barfi
59,man,neutral,2017,bareilly_ki_barfi
68,woman,angry,2017,bareilly_ki_barfi
70,woman,sad,2017,bareilly_ki_barfi
90,man,neutral,2017,bareilly_ki_barfi
90,woman,sad,2017,bareilly_ki_barfi
38,man,happy,2017,bareilly_ki_barfi
63,woman,neutral,2017,bareilly_ki_barfi
49,man,neutral,2017,bareilly_ki_barfi
69,woman,neutral,2017,bareilly_ki_barfi
54,man,sad,2017,bareilly_ki_barfi
138,man,neutral,2017,bareilly_ki_barfi
89,man,neutral,2017,bareilly_ki_barfi
89,man,surprise,2017,bareilly_ki_barfi
116,man,angry,2017,bareilly_ki_barfi
135,man,sad,2017,bareilly_ki_barfi
56,woman,sad,2017,bareilly_ki_barfi
109,man,sad,2017,bareilly_ki_barfi
92,man,sad,2017,bareilly_ki_barfi
83,man,neutral,2017,bareilly_ki_barfi
77,woman,neutral,2017,bareilly_ki_barfi
77,man,neutral,2017,bareilly_ki_barfi
27,woman,happy,2017,bareilly_ki_barfi
27,man,fear,2017,bareilly_ki_barfi
134,man,neutral,2017,bareilly_ki_barfi
81,man,neutral,2017,bareilly_ki_barfi
119,man,happy,2017,bareilly_ki_barfi
119,woman,neutral,2017,bareilly_ki_barfi
119,woman,happy,2017,bareilly_ki_barfi
113,man,angry,2017,bareilly_ki_barfi
100,woman,sad,2017,bareilly_ki_barfi
47,man,happy,2017,bareilly_ki_barfi
48,man,happy,2017,bareilly_ki_barfi
115,man,neutral,2017,bareilly_ki_barfi
101,woman,neutral,2017,bareilly_ki_barfi
99,woman,neutral,2017,bareilly_ki_barfi
78,woman,sad,2017,bareilly_ki_barfi
78,man,neutral,2017,bareilly_ki_barfi
97,man,neutral,2017,bareilly_ki_barfi
114,man,neutral,2017,bareilly_ki_barfi
124,woman,happy,2017,bareilly_ki_barfi
112,man,neutral,2017,bareilly_ki_barfi
79,woman,neutral,2017,bareilly_ki_barfi
79,man,neutral,2017,bareilly_ki_barfi
139,woman,happy,2017,bareilly_ki_barfi
18,woman,sad,2017,bareilly_ki_barfi
80,man,angry,2017,bareilly_ki_barfi
