frame_number,man/woman,emotion,year,movie_name
122,man,sad,2017,bhanwarey
122,man,fear,2017,bhanwarey
122,man,surprise,2017,bhanwarey
85,man,happy,2017,bhanwarey
28,man,angry,2017,bhanwarey
98,man,angry,2017,bhanwarey
62,man,happy,2017,bhanwarey
62,man,happy,2017,bhanwarey
60,woman,happy,2017,bhanwarey
58,man,fear,2017,bhanwarey
58,man,sad,2017,bhanwarey
61,man,happy,2017,bhanwarey
44,man,neutral,2017,bhanwarey
147,man,neutral,2017,bhanwarey
154,man,angry,2017,bhanwarey
154,man,neutral,2017,bhanwarey
128,man,neutral,2017,bhanwarey
128,man,fear,2017,bhanwarey
128,man,fear,2017,bhanwarey
20,man,happy,2017,bhanwarey
71,man,disgust,2017,bhanwarey
125,man,angry,2017,bhanwarey
125,man,neutral,2017,bhanwarey
125,man,neutral,2017,bhanwarey
19,man,neutral,2017,bhanwarey
76,man,angry,2017,bhanwarey
76,man,neutral,2017,bhanwarey
45,man,angry,2017,bhanwarey
91,man,surprise,2017,bhanwarey
158,woman,fear,2017,bhanwarey
59,man,angry,2017,bhanwarey
107,man,fear,2017,bhanwarey
106,man,fear,2017,bhanwarey
52,man,angry,2017,bhanwarey
150,man,neutral,2017,bhanwarey
150,man,neutral,2017,bhanwarey
150,man,neutral,2017,bhanwarey
121,man,happy,2017,bhanwarey
70,man,happy,2017,bhanwarey
38,woman,sad,2017,bhanwarey
26,man,angry,2017,bhanwarey
142,man,angry,2017,bhanwarey
63,man,sad,2017,bhanwarey
69,man,angry,2017,bhanwarey
67,man,angry,2017,bhanwarey
42,man,happy,2017,bhanwarey
103,man,surprise,2017,bhanwarey
103,man,sad,2017,bhanwarey
40,man,angry,2017,bhanwarey
116,woman,neutral,2017,bhanwarey
135,man,neutral,2017,bhanwarey
135,man,neutral,2017,bhanwarey
143,man,angry,2017,bhanwarey
74,man,angry,2017,bhanwarey
92,man,neutral,2017,bhanwarey
92,man,fear,2017,bhanwarey
92,man,neutral,2017,bhanwarey
102,man,neutral,2017,bhanwarey
102,woman,neutral,2017,bhanwarey
102,woman,fear,2017,bhanwarey
129,man,neutral,2017,bhanwarey
129,man,angry,2017,bhanwarey
129,man,angry,2017,bhanwarey
37,man,happy,2017,bhanwarey
151,man,neutral,2017,bhanwarey
151,man,neutral,2017,bhanwarey
151,man,neutral,2017,bhanwarey
83,man,happy,2017,bhanwarey
133,man,neutral,2017,bhanwarey
77,woman,neutral,2017,bhanwarey
27,man,fear,2017,bhanwarey
82,woman,happy,2017,bhanwarey
141,man,neutral,2017,bhanwarey
141,man,sad,2017,bhanwarey
141,man,sad,2017,bhanwarey
46,man,neutral,2017,bhanwarey
17,man,angry,2017,bhanwarey
41,man,happy,2017,bhanwarey
134,man,neutral,2017,bhanwarey
153,man,neutral,2017,bhanwarey
153,man,neutral,2017,bhanwarey
148,man,angry,2017,bhanwarey
148,man,neutral,2017,bhanwarey
148,woman,neutral,2017,bhanwarey
127,man,fear,2017,bhanwarey
157,man,angry,2017,bhanwarey
115,man,fear,2017,bhanwarey
115,man,fear,2017,bhanwarey
115,man,fear,2017,bhanwarey
126,man,angry,2017,bhanwarey
101,man,neutral,2017,bhanwarey
97,man,angry,2017,bhanwarey
34,woman,happy,2017,bhanwarey
152,man,sad,2017,bhanwarey
152,man,neutral,2017,bhanwarey
130,man,neutral,2017,bhanwarey
130,man,sad,2017,bhanwarey
130,man,angry,2017,bhanwarey
18,man,neutral,2017,bhanwarey
25,man,neutral,2017,bhanwarey
