frame_number,man/woman,emotion,year,movie_name
93,woman,neutral,2017,coffee_with_d
62,man,happy,2017,coffee_with_d
60,man,angry,2017,coffee_with_d
132,woman,happy,2017,coffee_with_d
94,man,angry,2017,coffee_with_d
61,man,neutral,2017,coffee_with_d
4,man,angry,2017,coffee_with_d
11,woman,angry,2017,coffee_with_d
3,man,angry,2017,coffee_with_d
71,man,angry,2017,coffee_with_d
108,man,neutral,2017,coffee_with_d
86,man,neutral,2017,coffee_with_d
2,man,angry,2017,coffee_with_d
91,man,neutral,2017,coffee_with_d
36,woman,sad,2017,coffee_with_d
59,man,angry,2017,coffee_with_d
70,woman,sad,2017,coffee_with_d
38,man,angry,2017,coffee_with_d
12,man,happy,2017,coffee_with_d
8,man,angry,2017,coffee_with_d
63,man,sad,2017,coffee_with_d
69,woman,disgust,2017,coffee_with_d
42,man,neutral,2017,coffee_with_d
40,man,fear,2017,coffee_with_d
138,man,surprise,2017,coffee_with_d
33,man,sad,2017,coffee_with_d
109,man,neutral,2017,coffee_with_d
92,woman,angry,2017,coffee_with_d
110,man,neutral,2017,coffee_with_d
151,man,neutral,2017,coffee_with_d
66,man,angry,2017,coffee_with_d
7,man,angry,2017,coffee_with_d
136,man,sad,2017,coffee_with_d
41,man,neutral,2017,coffee_with_d
10,man,angry,2017,coffee_with_d
153,man,happy,2017,coffee_with_d
113,man,neutral,2017,coffee_with_d
9,man,sad,2017,coffee_with_d
100,man,happy,2017,coffee_with_d
39,man,sad,2017,coffee_with_d
32,man,neutral,2017,coffee_with_d
137,man,sad,2017,coffee_with_d
95,man,sad,2017,coffee_with_d
101,man,happy,2017,coffee_with_d
99,man,happy,2017,coffee_with_d
43,man,angry,2017,coffee_with_d
114,man,fear,2017,coffee_with_d
6,man,angry,2017,coffee_with_d
152,man,happy,2017,coffee_with_d
64,man,neutral,2017,coffee_with_d
130,man,neutral,2017,coffee_with_d
5,man,angry,2017,coffee_with_d
75,woman,neutral,2017,coffee_with_d
75,woman,sad,2017,coffee_with_d
139,man,neutral,2017,coffee_with_d
