frame_number,man/woman,emotion,year,movie_name
62,man,neutral,2017,commando_2
60,man,neutral,2017,commando_2
132,man,sad,2017,commando_2
132,woman,sad,2017,commando_2
61,man,angry,2017,commando_2
44,man,fear,2017,commando_2
11,man,fear,2017,commando_2
131,woman,fear,2017,commando_2
19,man,fear,2017,commando_2
76,man,sad,2017,commando_2
45,man,surprise,2017,commando_2
55,man,neutral,2017,commando_2
91,man,neutral,2017,commando_2
90,man,sad,2017,commando_2
63,man,angry,2017,commando_2
49,woman,sad,2017,commando_2
74,man,neutral,2017,commando_2
83,woman,angry,2017,commando_2
84,man,angry,2017,commando_2
133,man,neutral,2017,commando_2
77,woman,neutral,2017,commando_2
27,man,sad,2017,commando_2
87,man,sad,2017,commando_2
10,man,sad,2017,commando_2
134,woman,surprise,2017,commando_2
134,man,angry,2017,commando_2
43,woman,fear,2017,commando_2
43,woman,neutral,2017,commando_2
64,woman,angry,2017,commando_2
130,man,surprise,2017,commando_2
23,man,sad,2017,commando_2
75,man,neutral,2017,commando_2
