frame_number,man/woman,emotion,year,movie_name
14,man,sad,2017,dear_maya
85,woman,happy,2017,dear_maya
28,woman,neutral,2017,dear_maya
62,woman,happy,2017,dear_maya
60,man,happy,2017,dear_maya
118,man,neutral,2017,dear_maya
132,man,neutral,2017,dear_maya
61,man,happy,2017,dear_maya
96,man,sad,2017,dear_maya
20,woman,happy,2017,dear_maya
30,woman,surprise,2017,dear_maya
15,man,sad,2017,dear_maya
19,woman,fear,2017,dear_maya
55,man,sad,2017,dear_maya
91,man,disgust,2017,dear_maya
35,woman,fear,2017,dear_maya
36,man,happy,2017,dear_maya
59,woman,fear,2017,dear_maya
104,woman,happy,2017,dear_maya
52,man,sad,2017,dear_maya
68,man,surprise,2017,dear_maya
26,woman,fear,2017,dear_maya
53,man,angry,2017,dear_maya
67,man,surprise,2017,dear_maya
42,woman,happy,2017,dear_maya
54,man,sad,2017,dear_maya
135,woman,neutral,2017,dear_maya
135,man,sad,2017,dear_maya
56,man,sad,2017,dear_maya
143,man,happy,2017,dear_maya
29,woman,happy,2017,dear_maya
37,woman,happy,2017,dear_maya
83,man,neutral,2017,dear_maya
13,man,sad,2017,dear_maya
27,woman,happy,2017,dear_maya
24,woman,surprise,2017,dear_maya
24,woman,surprise,2017,dear_maya
16,woman,angry,2017,dear_maya
41,woman,happy,2017,dear_maya
134,man,neutral,2017,dear_maya
123,woman,neutral,2017,dear_maya
126,woman,fear,2017,dear_maya
95,man,neutral,2017,dear_maya
97,man,happy,2017,dear_maya
105,woman,happy,2017,dear_maya
43,man,happy,2017,dear_maya
21,man,neutral,2017,dear_maya
57,man,sad,2017,dear_maya
64,man,happy,2017,dear_maya
130,man,sad,2017,dear_maya
72,man,neutral,2017,dear_maya
25,woman,happy,2017,dear_maya
