frame_number,man/woman,emotion,year,movie_name
58,woman,sad,2017,dobaara:_see_your_evil
61,man,sad,2017,dobaara:_see_your_evil
44,man,sad,2017,dobaara:_see_your_evil
88,man,sad,2017,dobaara:_see_your_evil
76,man,sad,2017,dobaara:_see_your_evil
108,man,neutral,2017,dobaara:_see_your_evil
107,woman,sad,2017,dobaara:_see_your_evil
26,man,neutral,2017,dobaara:_see_your_evil
67,woman,angry,2017,dobaara:_see_your_evil
54,woman,sad,2017,dobaara:_see_your_evil
33,man,neutral,2017,dobaara:_see_your_evil
102,man,surprise,2017,dobaara:_see_your_evil
110,man,angry,2017,dobaara:_see_your_evil
77,man,neutral,2017,dobaara:_see_your_evil
27,man,happy,2017,dobaara:_see_your_evil
24,man,neutral,2017,dobaara:_see_your_evil
10,man,sad,2017,dobaara:_see_your_evil
97,man,sad,2017,dobaara:_see_your_evil
105,woman,surprise,2017,dobaara:_see_your_evil
114,man,sad,2017,dobaara:_see_your_evil
6,man,sad,2017,dobaara:_see_your_evil
112,man,sad,2017,dobaara:_see_your_evil
75,man,neutral,2017,dobaara:_see_your_evil
75,man,sad,2017,dobaara:_see_your_evil
80,woman,sad,2017,dobaara:_see_your_evil
