frame_number,man/woman,emotion,year,movie_name
93,woman,happy,2017,ek_haseena_thi_ek_deewana_tha
122,woman,sad,2017,ek_haseena_thi_ek_deewana_tha
85,man,neutral,2017,ek_haseena_thi_ek_deewana_tha
51,man,sad,2017,ek_haseena_thi_ek_deewana_tha
118,woman,sad,2017,ek_haseena_thi_ek_deewana_tha
111,woman,sad,2017,ek_haseena_thi_ek_deewana_tha
94,woman,neutral,2017,ek_haseena_thi_ek_deewana_tha
94,man,fear,2017,ek_haseena_thi_ek_deewana_tha
96,woman,neutral,2017,ek_haseena_thi_ek_deewana_tha
120,man,angry,2017,ek_haseena_thi_ek_deewana_tha
86,man,neutral,2017,ek_haseena_thi_ek_deewana_tha
36,man,fear,2017,ek_haseena_thi_ek_deewana_tha
121,man,neutral,2017,ek_haseena_thi_ek_deewana_tha
12,man,sad,2017,ek_haseena_thi_ek_deewana_tha
89,man,angry,2017,ek_haseena_thi_ek_deewana_tha
89,woman,happy,2017,ek_haseena_thi_ek_deewana_tha
116,man,sad,2017,ek_haseena_thi_ek_deewana_tha
74,man,sad,2017,ek_haseena_thi_ek_deewana_tha
92,man,sad,2017,ek_haseena_thi_ek_deewana_tha
92,woman,neutral,2017,ek_haseena_thi_ek_deewana_tha
37,man,fear,2017,ek_haseena_thi_ek_deewana_tha
13,man,sad,2017,ek_haseena_thi_ek_deewana_tha
27,man,fear,2017,ek_haseena_thi_ek_deewana_tha
46,man,happy,2017,ek_haseena_thi_ek_deewana_tha
119,woman,surprise,2017,ek_haseena_thi_ek_deewana_tha
113,man,neutral,2017,ek_haseena_thi_ek_deewana_tha
100,man,neutral,2017,ek_haseena_thi_ek_deewana_tha
32,woman,sad,2017,ek_haseena_thi_ek_deewana_tha
47,man,neutral,2017,ek_haseena_thi_ek_deewana_tha
115,woman,sad,2017,ek_haseena_thi_ek_deewana_tha
95,woman,happy,2017,ek_haseena_thi_ek_deewana_tha
101,man,happy,2017,ek_haseena_thi_ek_deewana_tha
117,man,neutral,2017,ek_haseena_thi_ek_deewana_tha
114,woman,neutral,2017,ek_haseena_thi_ek_deewana_tha
22,woman,sad,2017,ek_haseena_thi_ek_deewana_tha
79,man,neutral,2017,ek_haseena_thi_ek_deewana_tha
75,man,sad,2017,ek_haseena_thi_ek_deewana_tha
80,man,neutral,2017,ek_haseena_thi_ek_deewana_tha
