frame_number,man/woman,emotion,year,movie_name
51,man,sad,2017,ek_thi_rani_aisi_bhi
58,woman,sad,2017,ek_thi_rani_aisi_bhi
44,man,neutral,2017,ek_thi_rani_aisi_bhi
11,woman,sad,2017,ek_thi_rani_aisi_bhi
55,man,angry,2017,ek_thi_rani_aisi_bhi
35,woman,neutral,2017,ek_thi_rani_aisi_bhi
35,woman,sad,2017,ek_thi_rani_aisi_bhi
36,woman,neutral,2017,ek_thi_rani_aisi_bhi
52,man,angry,2017,ek_thi_rani_aisi_bhi
38,man,neutral,2017,ek_thi_rani_aisi_bhi
53,man,sad,2017,ek_thi_rani_aisi_bhi
8,man,sad,2017,ek_thi_rani_aisi_bhi
63,man,neutral,2017,ek_thi_rani_aisi_bhi
49,man,neutral,2017,ek_thi_rani_aisi_bhi
42,woman,angry,2017,ek_thi_rani_aisi_bhi
54,man,sad,2017,ek_thi_rani_aisi_bhi
40,woman,neutral,2017,ek_thi_rani_aisi_bhi
56,man,neutral,2017,ek_thi_rani_aisi_bhi
33,woman,sad,2017,ek_thi_rani_aisi_bhi
33,man,angry,2017,ek_thi_rani_aisi_bhi
29,woman,sad,2017,ek_thi_rani_aisi_bhi
37,man,neutral,2017,ek_thi_rani_aisi_bhi
7,woman,neutral,2017,ek_thi_rani_aisi_bhi
24,woman,happy,2017,ek_thi_rani_aisi_bhi
46,man,neutral,2017,ek_thi_rani_aisi_bhi
65,man,angry,2017,ek_thi_rani_aisi_bhi
41,woman,neutral,2017,ek_thi_rani_aisi_bhi
10,woman,neutral,2017,ek_thi_rani_aisi_bhi
50,man,neutral,2017,ek_thi_rani_aisi_bhi
39,woman,neutral,2017,ek_thi_rani_aisi_bhi
32,woman,sad,2017,ek_thi_rani_aisi_bhi
32,woman,neutral,2017,ek_thi_rani_aisi_bhi
47,man,neutral,2017,ek_thi_rani_aisi_bhi
48,man,neutral,2017,ek_thi_rani_aisi_bhi
34,man,sad,2017,ek_thi_rani_aisi_bhi
34,woman,neutral,2017,ek_thi_rani_aisi_bhi
43,woman,neutral,2017,ek_thi_rani_aisi_bhi
21,woman,neutral,2017,ek_thi_rani_aisi_bhi
22,woman,happy,2017,ek_thi_rani_aisi_bhi
57,woman,fear,2017,ek_thi_rani_aisi_bhi
64,man,sad,2017,ek_thi_rani_aisi_bhi
23,man,happy,2017,ek_thi_rani_aisi_bhi
