frame_number,man/woman,emotion,year,movie_name
62,man,sad,2017,firangi
11,woman,surprise,2017,firangi
55,man,sad,2017,firangi
104,man,fear,2017,firangi
106,man,sad,2017,firangi
53,man,sad,2017,firangi
63,woman,sad,2017,firangi
103,man,sad,2017,firangi
54,man,sad,2017,firangi
40,man,sad,2017,firangi
135,man,sad,2017,firangi
56,man,sad,2017,firangi
109,man,fear,2017,firangi
110,man,fear,2017,firangi
66,woman,sad,2017,firangi
82,man,angry,2017,firangi
65,man,angry,2017,firangi
41,man,sad,2017,firangi
81,man,neutral,2017,firangi
115,man,fear,2017,firangi
117,man,fear,2017,firangi
114,man,angry,2017,firangi
6,woman,sad,2017,firangi
57,woman,angry,2017,firangi
64,woman,sad,2017,firangi
72,man,neutral,2017,firangi
79,man,neutral,2017,firangi
80,woman,neutral,2017,firangi
