frame_number,man/woman,emotion,year,movie_name
93,woman,sad,2017,fukrey_returns
93,man,sad,2017,fukrey_returns
14,man,happy,2017,fukrey_returns
28,man,neutral,2017,fukrey_returns
28,man,neutral,2017,fukrey_returns
98,woman,neutral,2017,fukrey_returns
60,man,neutral,2017,fukrey_returns
58,woman,neutral,2017,fukrey_returns
61,man,neutral,2017,fukrey_returns
15,man,happy,2017,fukrey_returns
45,woman,sad,2017,fukrey_returns
91,woman,happy,2017,fukrey_returns
104,woman,sad,2017,fukrey_returns
26,man,neutral,2017,fukrey_returns
26,man,neutral,2017,fukrey_returns
53,man,happy,2017,fukrey_returns
53,woman,happy,2017,fukrey_returns
54,man,happy,2017,fukrey_returns
56,man,sad,2017,fukrey_returns
92,woman,surprise,2017,fukrey_returns
27,man,neutral,2017,fukrey_returns
27,man,sad,2017,fukrey_returns
82,man,sad,2017,fukrey_returns
46,man,neutral,2017,fukrey_returns
16,woman,angry,2017,fukrey_returns
17,man,happy,2017,fukrey_returns
100,man,sad,2017,fukrey_returns
32,woman,happy,2017,fukrey_returns
99,woman,happy,2017,fukrey_returns
97,man,neutral,2017,fukrey_returns
105,woman,angry,2017,fukrey_returns
105,woman,sad,2017,fukrey_returns
43,man,neutral,2017,fukrey_returns
22,man,happy,2017,fukrey_returns
22,man,neutral,2017,fukrey_returns
22,man,happy,2017,fukrey_returns
25,man,neutral,2017,fukrey_returns
