frame_number,man/woman,emotion,year,movie_name
98,man,neutral,2017,guest_in_london
94,man,neutral,2017,guest_in_london
61,man,happy,2017,guest_in_london
44,man,neutral,2017,guest_in_london
128,man,neutral,2017,guest_in_london
76,man,angry,2017,guest_in_london
45,man,neutral,2017,guest_in_london
91,man,neutral,2017,guest_in_london
49,man,neutral,2017,guest_in_london
42,man,surprise,2017,guest_in_london
103,man,neutral,2017,guest_in_london
89,woman,sad,2017,guest_in_london
110,man,sad,2017,guest_in_london
66,man,happy,2017,guest_in_london
77,man,sad,2017,guest_in_london
77,woman,sad,2017,guest_in_london
46,man,neutral,2017,guest_in_london
65,man,neutral,2017,guest_in_london
41,man,happy,2017,guest_in_london
119,man,happy,2017,guest_in_london
50,man,neutral,2017,guest_in_london
113,woman,fear,2017,guest_in_london
47,man,surprise,2017,guest_in_london
48,man,happy,2017,guest_in_london
115,man,neutral,2017,guest_in_london
126,man,neutral,2017,guest_in_london
95,man,happy,2017,guest_in_london
99,man,sad,2017,guest_in_london
43,man,surprise,2017,guest_in_london
21,man,neutral,2017,guest_in_london
21,man,happy,2017,guest_in_london
21,woman,happy,2017,guest_in_london
64,woman,sad,2017,guest_in_london
112,man,neutral,2017,guest_in_london
75,man,angry,2017,guest_in_london
80,man,sad,2017,guest_in_london
80,man,sad,2017,guest_in_london
