frame_number,man/woman,emotion,year,movie_name
62,man,sad,2017,haseena_parkar
58,man,angry,2017,haseena_parkar
45,man,angry,2017,haseena_parkar
55,woman,neutral,2017,haseena_parkar
36,woman,surprise,2017,haseena_parkar
104,man,happy,2017,haseena_parkar
106,woman,neutral,2017,haseena_parkar
68,man,angry,2017,haseena_parkar
70,woman,sad,2017,haseena_parkar
90,man,angry,2017,haseena_parkar
63,man,fear,2017,haseena_parkar
103,man,neutral,2017,haseena_parkar
40,man,neutral,2017,haseena_parkar
56,man,surprise,2017,haseena_parkar
74,man,sad,2017,haseena_parkar
102,man,neutral,2017,haseena_parkar
102,man,sad,2017,haseena_parkar
37,woman,sad,2017,haseena_parkar
83,man,fear,2017,haseena_parkar
84,man,fear,2017,haseena_parkar
46,woman,fear,2017,haseena_parkar
81,man,neutral,2017,haseena_parkar
32,man,angry,2017,haseena_parkar
48,man,angry,2017,haseena_parkar
48,man,surprise,2017,haseena_parkar
105,woman,sad,2017,haseena_parkar
22,man,angry,2017,haseena_parkar
73,man,neutral,2017,haseena_parkar
72,woman,fear,2017,haseena_parkar
75,man,neutral,2017,haseena_parkar
