frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2017,ittefaq
85,man,angry,2017,ittefaq
51,man,sad,2017,ittefaq
62,man,neutral,2017,ittefaq
60,man,neutral,2017,ittefaq
118,woman,disgust,2017,ittefaq
118,man,sad,2017,ittefaq
94,woman,happy,2017,ittefaq
61,woman,neutral,2017,ittefaq
11,woman,sad,2017,ittefaq
71,woman,angry,2017,ittefaq
86,man,sad,2017,ittefaq
91,woman,sad,2017,ittefaq
36,man,fear,2017,ittefaq
59,woman,neutral,2017,ittefaq
106,man,neutral,2017,ittefaq
52,man,sad,2017,ittefaq
53,man,fear,2017,ittefaq
12,man,sad,2017,ittefaq
63,woman,happy,2017,ittefaq
69,man,neutral,2017,ittefaq
40,man,fear,2017,ittefaq
33,man,sad,2017,ittefaq
74,man,happy,2017,ittefaq
102,woman,fear,2017,ittefaq
29,man,neutral,2017,ittefaq
37,man,sad,2017,ittefaq
66,woman,happy,2017,ittefaq
66,man,sad,2017,ittefaq
84,man,angry,2017,ittefaq
24,woman,happy,2017,ittefaq
10,woman,angry,2017,ittefaq
50,woman,sad,2017,ittefaq
50,woman,angry,2017,ittefaq
50,woman,sad,2017,ittefaq
39,woman,angry,2017,ittefaq
95,man,neutral,2017,ittefaq
101,woman,fear,2017,ittefaq
22,woman,angry,2017,ittefaq
6,woman,sad,2017,ittefaq
73,man,happy,2017,ittefaq
79,man,surprise,2017,ittefaq
23,man,neutral,2017,ittefaq
75,man,neutral,2017,ittefaq
75,man,happy,2017,ittefaq
18,man,neutral,2017,ittefaq
18,man,happy,2017,ittefaq
18,man,angry,2017,ittefaq
25,man,neutral,2017,ittefaq
