frame_number,man/woman,emotion,year,movie_name
93,man,fear,2017,jolly_llb_2
28,man,angry,2017,jolly_llb_2
98,man,fear,2017,jolly_llb_2
60,man,angry,2017,jolly_llb_2
94,man,fear,2017,jolly_llb_2
58,man,angry,2017,jolly_llb_2
61,man,angry,2017,jolly_llb_2
44,man,neutral,2017,jolly_llb_2
96,man,sad,2017,jolly_llb_2
30,woman,angry,2017,jolly_llb_2
76,man,fear,2017,jolly_llb_2
45,man,neutral,2017,jolly_llb_2
91,man,sad,2017,jolly_llb_2
35,man,angry,2017,jolly_llb_2
59,man,angry,2017,jolly_llb_2
90,man,sad,2017,jolly_llb_2
89,man,fear,2017,jolly_llb_2
56,man,neutral,2017,jolly_llb_2
33,woman,sad,2017,jolly_llb_2
33,man,angry,2017,jolly_llb_2
33,man,sad,2017,jolly_llb_2
92,man,sad,2017,jolly_llb_2
29,man,sad,2017,jolly_llb_2
77,man,angry,2017,jolly_llb_2
27,man,angry,2017,jolly_llb_2
82,man,happy,2017,jolly_llb_2
46,man,angry,2017,jolly_llb_2
50,woman,fear,2017,jolly_llb_2
50,man,sad,2017,jolly_llb_2
47,man,angry,2017,jolly_llb_2
48,man,angry,2017,jolly_llb_2
95,man,fear,2017,jolly_llb_2
99,man,fear,2017,jolly_llb_2
97,man,fear,2017,jolly_llb_2
43,man,sad,2017,jolly_llb_2
57,man,angry,2017,jolly_llb_2
