frame_number,man/woman,emotion,year,movie_name
28,man,neutral,2017,judwaa_2
44,man,angry,2017,judwaa_2
170,woman,happy,2017,judwaa_2
170,woman,neutral,2017,judwaa_2
45,man,surprise,2017,judwaa_2
91,man,angry,2017,judwaa_2
91,woman,happy,2017,judwaa_2
53,woman,neutral,2017,judwaa_2
53,man,angry,2017,judwaa_2
12,man,neutral,2017,judwaa_2
171,man,neutral,2017,judwaa_2
40,man,happy,2017,judwaa_2
33,woman,happy,2017,judwaa_2
178,man,neutral,2017,judwaa_2
178,woman,fear,2017,judwaa_2
109,man,angry,2017,judwaa_2
29,man,neutral,2017,judwaa_2
110,man,happy,2017,judwaa_2
110,man,happy,2017,judwaa_2
66,man,surprise,2017,judwaa_2
13,man,fear,2017,judwaa_2
7,man,surprise,2017,judwaa_2
146,man,angry,2017,judwaa_2
65,man,surprise,2017,judwaa_2
169,man,fear,2017,judwaa_2
169,woman,sad,2017,judwaa_2
50,man,happy,2017,judwaa_2
9,man,neutral,2017,judwaa_2
100,man,fear,2017,judwaa_2
39,man,surprise,2017,judwaa_2
32,man,angry,2017,judwaa_2
137,woman,neutral,2017,judwaa_2
117,man,happy,2017,judwaa_2
114,man,sad,2017,judwaa_2
174,man,fear,2017,judwaa_2
174,man,sad,2017,judwaa_2
64,woman,happy,2017,judwaa_2
177,man,angry,2017,judwaa_2
112,man,angry,2017,judwaa_2
31,woman,fear,2017,judwaa_2
