frame_number,man/woman,emotion,year,movie_name
85,woman,neutral,2017,love_you_family
28,woman,angry,2017,love_you_family
51,woman,neutral,2017,love_you_family
62,man,sad,2017,love_you_family
61,man,angry,2017,love_you_family
128,woman,happy,2017,love_you_family
71,man,fear,2017,love_you_family
71,man,sad,2017,love_you_family
15,man,angry,2017,love_you_family
120,woman,neutral,2017,love_you_family
108,man,sad,2017,love_you_family
86,man,happy,2017,love_you_family
86,woman,happy,2017,love_you_family
36,woman,happy,2017,love_you_family
52,man,happy,2017,love_you_family
70,man,angry,2017,love_you_family
70,man,neutral,2017,love_you_family
38,woman,happy,2017,love_you_family
63,woman,sad,2017,love_you_family
40,woman,disgust,2017,love_you_family
33,woman,happy,2017,love_you_family
33,woman,angry,2017,love_you_family
109,man,disgust,2017,love_you_family
29,woman,happy,2017,love_you_family
87,man,happy,2017,love_you_family
82,woman,sad,2017,love_you_family
41,woman,neutral,2017,love_you_family
81,woman,sad,2017,love_you_family
39,man,happy,2017,love_you_family
115,man,sad,2017,love_you_family
34,man,sad,2017,love_you_family
124,man,neutral,2017,love_you_family
72,woman,disgust,2017,love_you_family
72,man,neutral,2017,love_you_family
75,man,fear,2017,love_you_family
75,man,sad,2017,love_you_family
18,man,happy,2017,love_you_family
