frame_number,man/woman,emotion,year,movie_name
122,woman,sad,2017,maatr
98,man,sad,2017,maatr
118,woman,sad,2017,maatr
125,man,sad,2017,maatr
76,man,angry,2017,maatr
91,man,sad,2017,maatr
70,man,sad,2017,maatr
69,woman,disgust,2017,maatr
135,man,sad,2017,maatr
74,woman,neutral,2017,maatr
129,woman,happy,2017,maatr
83,woman,surprise,2017,maatr
66,woman,neutral,2017,maatr
87,woman,happy,2017,maatr
65,woman,angry,2017,maatr
119,man,sad,2017,maatr
113,man,angry,2017,maatr
123,woman,sad,2017,maatr
127,woman,sad,2017,maatr
101,man,sad,2017,maatr
99,man,neutral,2017,maatr
117,woman,sad,2017,maatr
73,woman,fear,2017,maatr
79,woman,angry,2017,maatr
75,woman,neutral,2017,maatr
