frame_number,man/woman,emotion,year,movie_name
93,woman,neutral,2017,mein_terrorist_nahi_hoon
85,man,sad,2017,mein_terrorist_nahi_hoon
118,man,happy,2017,mein_terrorist_nahi_hoon
61,woman,sad,2017,mein_terrorist_nahi_hoon
44,woman,sad,2017,mein_terrorist_nahi_hoon
131,man,happy,2017,mein_terrorist_nahi_hoon
96,man,neutral,2017,mein_terrorist_nahi_hoon
30,man,sad,2017,mein_terrorist_nahi_hoon
15,woman,sad,2017,mein_terrorist_nahi_hoon
125,man,angry,2017,mein_terrorist_nahi_hoon
45,man,sad,2017,mein_terrorist_nahi_hoon
91,man,angry,2017,mein_terrorist_nahi_hoon
106,man,sad,2017,mein_terrorist_nahi_hoon
26,man,sad,2017,mein_terrorist_nahi_hoon
49,woman,sad,2017,mein_terrorist_nahi_hoon
69,man,fear,2017,mein_terrorist_nahi_hoon
92,woman,neutral,2017,mein_terrorist_nahi_hoon
29,man,fear,2017,mein_terrorist_nahi_hoon
77,woman,sad,2017,mein_terrorist_nahi_hoon
87,man,angry,2017,mein_terrorist_nahi_hoon
82,man,fear,2017,mein_terrorist_nahi_hoon
17,woman,sad,2017,mein_terrorist_nahi_hoon
41,man,sad,2017,mein_terrorist_nahi_hoon
134,man,neutral,2017,mein_terrorist_nahi_hoon
81,man,sad,2017,mein_terrorist_nahi_hoon
119,woman,surprise,2017,mein_terrorist_nahi_hoon
39,man,neutral,2017,mein_terrorist_nahi_hoon
48,man,sad,2017,mein_terrorist_nahi_hoon
95,man,surprise,2017,mein_terrorist_nahi_hoon
99,woman,angry,2017,mein_terrorist_nahi_hoon
34,man,angry,2017,mein_terrorist_nahi_hoon
114,man,neutral,2017,mein_terrorist_nahi_hoon
22,man,sad,2017,mein_terrorist_nahi_hoon
72,woman,neutral,2017,mein_terrorist_nahi_hoon
18,man,sad,2017,mein_terrorist_nahi_hoon
31,man,sad,2017,mein_terrorist_nahi_hoon
