frame_number,man/woman,emotion,year,movie_name
122,man,neutral,2017,mom
62,woman,sad,2017,mom
60,man,sad,2017,mom
58,woman,angry,2017,mom
61,woman,sad,2017,mom
88,man,neutral,2017,mom
19,woman,sad,2017,mom
76,man,sad,2017,mom
108,man,surprise,2017,mom
59,woman,happy,2017,mom
107,man,sad,2017,mom
104,man,sad,2017,mom
121,man,sad,2017,mom
38,man,sad,2017,mom
53,man,sad,2017,mom
69,man,happy,2017,mom
67,woman,surprise,2017,mom
42,man,happy,2017,mom
103,man,angry,2017,mom
54,man,sad,2017,mom
40,man,fear,2017,mom
89,man,sad,2017,mom
33,woman,angry,2017,mom
37,woman,sad,2017,mom
83,man,sad,2017,mom
83,man,angry,2017,mom
84,man,sad,2017,mom
84,man,sad,2017,mom
77,man,sad,2017,mom
82,man,neutral,2017,mom
82,man,angry,2017,mom
17,woman,neutral,2017,mom
41,man,neutral,2017,mom
81,man,sad,2017,mom
81,woman,neutral,2017,mom
113,man,sad,2017,mom
123,woman,angry,2017,mom
100,man,angry,2017,mom
39,woman,sad,2017,mom
32,woman,angry,2017,mom
48,man,happy,2017,mom
95,woman,angry,2017,mom
97,man,sad,2017,mom
34,woman,sad,2017,mom
43,man,sad,2017,mom
57,woman,angry,2017,mom
112,man,sad,2017,mom
18,man,sad,2017,mom
80,man,sad,2017,mom
80,man,angry,2017,mom
