frame_number,man/woman,emotion,year,movie_name
14,woman,happy,2017,mona_darling
85,man,angry,2017,mona_darling
94,woman,angry,2017,mona_darling
15,man,happy,2017,mona_darling
108,man,sad,2017,mona_darling
108,woman,sad,2017,mona_darling
86,woman,sad,2017,mona_darling
91,woman,happy,2017,mona_darling
53,woman,sad,2017,mona_darling
54,woman,sad,2017,mona_darling
40,woman,surprise,2017,mona_darling
40,woman,happy,2017,mona_darling
102,man,sad,2017,mona_darling
84,man,sad,2017,mona_darling
133,woman,sad,2017,mona_darling
77,man,happy,2017,mona_darling
24,woman,surprise,2017,mona_darling
114,woman,sad,2017,mona_darling
73,man,neutral,2017,mona_darling
