frame_number,man/woman,emotion,year,movie_name
85,woman,sad,2017,mubarakan
85,man,sad,2017,mubarakan
28,woman,happy,2017,mubarakan
51,woman,angry,2017,mubarakan
98,man,happy,2017,mubarakan
62,man,sad,2017,mubarakan
111,woman,fear,2017,mubarakan
111,man,angry,2017,mubarakan
58,woman,neutral,2017,mubarakan
58,woman,angry,2017,mubarakan
61,man,happy,2017,mubarakan
96,man,neutral,2017,mubarakan
96,man,angry,2017,mubarakan
128,woman,neutral,2017,mubarakan
128,woman,fear,2017,mubarakan
20,man,sad,2017,mubarakan
19,man,happy,2017,mubarakan
76,woman,happy,2017,mubarakan
86,man,disgust,2017,mubarakan
86,man,sad,2017,mubarakan
55,man,neutral,2017,mubarakan
35,woman,neutral,2017,mubarakan
59,woman,neutral,2017,mubarakan
59,woman,fear,2017,mubarakan
52,woman,happy,2017,mubarakan
68,man,sad,2017,mubarakan
68,man,angry,2017,mubarakan
121,woman,happy,2017,mubarakan
121,man,happy,2017,mubarakan
38,man,sad,2017,mubarakan
53,woman,neutral,2017,mubarakan
53,woman,happy,2017,mubarakan
63,man,neutral,2017,mubarakan
63,man,neutral,2017,mubarakan
67,man,angry,2017,mubarakan
67,man,sad,2017,mubarakan
54,man,neutral,2017,mubarakan
40,woman,happy,2017,mubarakan
33,man,sad,2017,mubarakan
74,man,happy,2017,mubarakan
37,man,sad,2017,mubarakan
83,man,neutral,2017,mubarakan
66,man,neutral,2017,mubarakan
66,woman,fear,2017,mubarakan
84,man,neutral,2017,mubarakan
133,woman,happy,2017,mubarakan
82,man,angry,2017,mubarakan
82,man,neutral,2017,mubarakan
24,man,sad,2017,mubarakan
24,man,happy,2017,mubarakan
17,man,neutral,2017,mubarakan
17,man,neutral,2017,mubarakan
65,man,sad,2017,mubarakan
41,man,neutral,2017,mubarakan
134,man,neutral,2017,mubarakan
134,woman,happy,2017,mubarakan
81,woman,fear,2017,mubarakan
119,man,happy,2017,mubarakan
100,man,happy,2017,mubarakan
39,woman,happy,2017,mubarakan
32,man,sad,2017,mubarakan
78,man,angry,2017,mubarakan
97,man,neutral,2017,mubarakan
97,man,sad,2017,mubarakan
73,man,neutral,2017,mubarakan
73,man,sad,2017,mubarakan
64,man,angry,2017,mubarakan
64,man,sad,2017,mubarakan
112,man,angry,2017,mubarakan
112,woman,surprise,2017,mubarakan
72,woman,happy,2017,mubarakan
23,man,fear,2017,mubarakan
75,woman,happy,2017,mubarakan
18,man,neutral,2017,mubarakan
18,man,neutral,2017,mubarakan
25,man,happy,2017,mubarakan
25,man,happy,2017,mubarakan
